,Industry,No. of Jobs
11,Tài chính/Đầu tư,938
22,Điện/Điện tử,690
23,Cơ khí,611
0,Xây dựng,536
9,Ngân hàng,534
10,Kiểm toán,460
7,Internet/Online Media,348
6,Quảng cáo/Khuyến mãi/Đối ngoại,325
44,Vận chuyển/Giao nhận,307
1,Kiến trúc/Thiết kế nội thất,304
16,Bán lẻ/Bán sỉ,286
2,Bất động sản,277
41,Giáo dục/Đào tạo,267
30,Tự động hóa/Ô tô,228
5,Mỹ Thuật/Nghệ Thuật/Thiết Kế,223
43,Tư vấn,205
14,Hàng tiêu dùng,199
17,Thực phẩm & Đồ uống,198
32,Sản phẩm công nghiệp,189
42,Y tế/Chăm sóc sức khỏe,185
35,Y tế/Chăm sóc sức khỏe,185
13,Bảo hiểm,180
24,Hóa học/Hóa sinh,158
29,Dược Phẩm/Công nghệ sinh học,145
3,Viễn Thông,143
4,Truyền hình/Truyền thông/Báo chí,124
45,Kho vận,119
12,Chứng khoán,118
33,Công nghệ cao,115
28,Dệt may/Da giày,109
26,Điện lạnh/Nhiệt lạnh,100
21,Nhà hàng/Khách sạn,87
25,Môi trường/Xử lý chất thải,76
31,Nông nghiệp/Lâm nghiệp,69
18,Thời trang,68
38,Dược sĩ,60
39,Trình dược viên,58
46,Hàng hải,52
27,Dầu khí,42
20,Hàng không/Du lịch,40
15,Hàng gia dụng,38
40,Phi chính phủ/Phi lợi nhuận,37
8,In ấn/ Xuất bản,27
19,Hàng cao cấp,22
36,Bác sĩ,18
37,Y sĩ/Hộ lý,13
34,Địa chất/Khoáng sản,11
