,Industry,No. of Jobs
14, Bán hàng,4615
19, Tư vấn,3018
8, Dịch vụ khách hàng,2712
11, Kế toán / Kiểm toán,2076
4, Thư ký / Hành chánh,1786
33, Kỹ thuật ứng dụng / Cơ khí,1749
18, Tiếp thị,1737
25, CNTT - Phần mềm,1541
13, Tài chính / Đầu tư,1487
32, Điện / Điện tử,1370
52, Mới tốt nghiệp / Thực tập,1324
16, Quảng cáo / Khuyến mãi / Đối ngoại,1244
6, Bán lẻ / Bán sỉ,1221
42, Sản xuất / Vận hành sản xuất,1213
0, Biên phiên dịch / Thông dịch viên,1148
21, Vận chuyển / Giao thông / Kho bãi,977
10, Bảo hiểm,836
47, Xây dựng,805
29, Bảo trì / Sửa chữa,793
2, Nhân sự,780
20, Quản lý chất lượng (QA / QC),733
49, Nghệ thuật / Thiết kế / Giải trí,723
24, CNTT - Phần cứng / Mạng,687
51, Lao động phổ thông,671
1, Biên phiên dịch (tiếng Nhật),623
12, Ngân hàng / Chứng khoán,571
28, Nhà hàng / Dịch vụ ăn uống,529
23, Xuất nhập khẩu / Ngoại thương,517
39, Hóa chất / Sinh hóa / Thực phẩm,483
22, Vật tư / Mua hàng,461
37, Dệt may / Da giày,441
27, Khách sạn,410
31, Dược / Sinh học,405
44, Bất động sản,335
7, Chăm sóc sức khỏe / Y tế,334
46, Nội thất / Ngoại thất,298
45, Kiến trúc,298
48, Báo chí / Biên tập viên / Xuất bản,294
30, Điện lạnh / Nhiệt lạnh,270
54, Quản lý điều hành,233
50, Viễn Thông,209
3, Pháp lý / Luật,196
17, Thời trang,167
41, Ô tô,142
34, Môi trường / Xử lý chất thải,139
5, An Ninh / Bảo Vệ,137
35, An Toàn Lao Động,122
38, Đồ Gỗ,89
26, Du lịch,85
40, Nông nghiệp / Lâm nghiệp,84
43, Thuỷ Hải Sản,62
15, Hàng gia dụng,50
55, Khác,48
36, Dầu khí / Khoáng sản,19
9, Phi chính phủ / Phi lợi nhuận,3
53, Người nước ngoài,2
