,Industry,No. of Jobs
14, Bán hàng,4349
19, Tư vấn,2886
8, Dịch vụ khách hàng,2370
11, Kế toán / Kiểm toán,2007
18, Tiếp thị,1688
33, Kỹ thuật ứng dụng / Cơ khí,1667
4, Thư ký / Hành chánh,1590
25, CNTT - Phần mềm,1542
13, Tài chính / Đầu tư,1429
32, Điện / Điện tử,1368
52, Mới tốt nghiệp / Thực tập,1262
16, Quảng cáo / Khuyến mãi / Đối ngoại,1255
42, Sản xuất / Vận hành sản xuất,1148
6, Bán lẻ / Bán sỉ,1136
0, Biên phiên dịch / Thông dịch viên,1054
21, Vận chuyển / Giao thông / Kho bãi,931
10, Bảo hiểm,884
47, Xây dựng,806
29, Bảo trì / Sửa chữa,731
49, Nghệ thuật / Thiết kế / Giải trí,721
20, Quản lý chất lượng (QA / QC),711
2, Nhân sự,694
24, CNTT - Phần cứng / Mạng,687
51, Lao động phổ thông,578
1, Biên phiên dịch (tiếng Nhật),573
12, Ngân hàng / Chứng khoán,505
23, Xuất nhập khẩu / Ngoại thương,485
39, Hóa chất / Sinh hóa / Thực phẩm,427
31, Dược / Sinh học,416
22, Vật tư / Mua hàng,406
28, Nhà hàng / Dịch vụ ăn uống,394
37, Dệt may / Da giày,376
7, Chăm sóc sức khỏe / Y tế,324
48, Báo chí / Biên tập viên / Xuất bản,307
44, Bất động sản,304
27, Khách sạn,295
45, Kiến trúc,292
30, Điện lạnh / Nhiệt lạnh,280
46, Nội thất / Ngoại thất,276
54, Quản lý điều hành,204
50, Viễn Thông,197
3, Pháp lý / Luật,186
17, Thời trang,153
41, Ô tô,139
5, An Ninh / Bảo Vệ,137
34, Môi trường / Xử lý chất thải,128
35, An Toàn Lao Động,112
38, Đồ Gỗ,93
40, Nông nghiệp / Lâm nghiệp,87
43, Thuỷ Hải Sản,59
15, Hàng gia dụng,54
26, Du lịch,49
55, Khác,45
36, Dầu khí / Khoáng sản,24
9, Phi chính phủ / Phi lợi nhuận,3
53, Người nước ngoài,1
