,Industry,No. of Jobs
46,Hành chính-Văn phòng,743.0
41,Bán hàng ,707.0
7,Tư vấn,599.0
58,Kế toán-Kiểm toán,454.0
35,Kỹ thuật,362.0
28,Điện-Điện tử-Điện lạnh,273.0
42,Xây dựng,263.0
50,Marketing-PR,237.0
63,Quản trị kinh doanh,228.0
29,Lao động phổ thông,209.0
15,Cơ khí-Chế tạo,209.0
0,KD bất động sản,145.0
48,Kiến trúc-TK nội thất,145.0
56,Y tế-Dược,131.0
53,IT phần mềm,123.0
1,Kho vận-Vật tư,122.0
31,Thiết kế-Mỹ thuật,119.0
57,Ngoại thương-Xuất nhập khẩu,111.0
12,Dịch vụ,104.0
33,Thực phẩm-Đồ uống,103.0
51,Thư ký-Trợ lý,97.0
44,Tài chính-Đầu tư,93.0
52,IT phần cứng/mạng,91.0
65,Nhân sự,90.0
10,Tiếp thị-Quảng cáo,82.0
43,Ngân hàng,78.0
55,Thiết kế đồ hoạ web,74.0
18,Công nghiệp,69.0
16,Khách sạn-Nhà hàng,67.0
11,Hoá học-Sinh học,64.0
8,Dệt may - Da giày,62.0
59,Giáo dục-Đào tạo,62.0
34,Kỹ thuật ứng dụng,59.0
24,Làm bán thời gian,59.0
47,Biên-Phiên dịch,58.0
54,Thương mại điện tử,54.0
22,Vận tải,52.0
19,Nhân viên kinh doanh,49.0
5,Ngành nghề khác,49.0
21,Điện tử viễn thông,47.0
9,Sinh viên làm thêm,43.0
32,Nông-Lâm-Ngư nghiệp,43.0
26,Spa-Mỹ phẩm-Trang sức,43.0
6,In ấn-Xuất bản,43.0
17,Ô tô - Xe máy,40.0
40,Bảo hiểm,38.0
2,Thời trang,33.0
14,An ninh-Bảo vệ,33.0
62,Pháp lý-Luật,28.0
25,Dầu khí-Hóa chất,25.0
60,Báo chí-Truyền hình,25.0
13,Hàng hải,24.0
45,Hoạch định-Dự án,24.0
61,Công nghệ cao,16.0
49,Quan hệ đối ngoại,16.0
67,Thực tập,13.0
30,Hàng gia dụng,13.0
20,Tổ chức sự kiện-Quà tặng,10.0
38,Chứng khoán- Vàng,8.0
66,Du lịch,8.0
37,Game,7.0
64,Nghệ thuật - Điện ảnh,7.0
3,Hàng không,6.0
23,Thủ công mỹ nghệ,4.0
39,Promotion Girl (PG),4.0
4,Người giúp việc,4.0
27,Bưu chính,3.0
36,NV trông quán Internet,0.0
