,Industry,No. of Jobs
11,Tài chính/Đầu tư,1570
22,Điện/Điện tử,1061
0,Xây dựng,896
23,Cơ khí,896
10,Kiểm toán,844
9,Ngân hàng,817
6,Quảng cáo/Khuyến mãi/Đối ngoại,666
7,Internet/Online Media,597
44,Vận chuyển/Giao nhận,582
1,Kiến trúc/Thiết kế nội thất,547
16,Bán lẻ/Bán sỉ,472
5,Mỹ Thuật/Nghệ Thuật/Thiết Kế,454
2,Bất động sản,447
41,Giáo dục/Đào tạo,430
43,Tư vấn,408
30,Tự động hóa/Ô tô,404
28,Dệt may/Da giày,391
14,Hàng tiêu dùng,319
17,Thực phẩm & Đồ uống,318
42,Y tế/Chăm sóc sức khỏe,301
35,Y tế/Chăm sóc sức khỏe,301
32,Sản phẩm công nghiệp,299
45,Kho vận,261
24,Hóa học/Hóa sinh,259
21,Nhà hàng/Khách sạn,236
4,Truyền hình/Truyền thông/Báo chí,226
29,Dược Phẩm/Công nghệ sinh học,223
13,Bảo hiểm,202
3,Viễn Thông,191
18,Thời trang,162
26,Điện lạnh/Nhiệt lạnh,151
33,Công nghệ cao,136
25,Môi trường/Xử lý chất thải,136
12,Chứng khoán,133
20,Hàng không/Du lịch,131
39,Trình dược viên,116
38,Dược sĩ,98
31,Nông nghiệp/Lâm nghiệp,95
46,Hàng hải,90
8,In ấn/ Xuất bản,66
27,Dầu khí,62
40,Phi chính phủ/Phi lợi nhuận,58
15,Hàng gia dụng,47
19,Hàng cao cấp,24
34,Địa chất/Khoáng sản,23
37,Y sĩ/Hộ lý,23
36,Bác sĩ,21
