,Industry,No. of Jobs
14, Bán hàng,5690
19, Tư vấn,3975
8, Dịch vụ khách hàng,2755
18, Tiếp thị,2003
13, Tài chính / Đầu tư,1694
11, Kế toán / Kiểm toán,1685
25, CNTT - Phần mềm,1518
33, Kỹ thuật ứng dụng / Cơ khí,1479
16, Quảng cáo / Khuyến mãi / Đối ngoại,1448
10, Bảo hiểm,1417
32, Điện / Điện tử,1400
4, Thư ký / Hành chánh,1326
6, Bán lẻ / Bán sỉ,1310
52, Mới tốt nghiệp / Thực tập,1281
31, Dược / Sinh học,1137
0, Biên phiên dịch / Thông dịch viên,1073
42, Sản xuất / Vận hành sản xuất,978
21, Vận chuyển / Giao thông / Kho bãi,962
12, Ngân hàng / Chứng khoán,859
29, Bảo trì / Sửa chữa,762
49, Nghệ thuật / Thiết kế / Giải trí,738
47, Xây dựng,733
24, CNTT - Phần cứng / Mạng,717
20, Quản lý chất lượng (QA / QC),675
7, Chăm sóc sức khỏe / Y tế,637
2, Nhân sự,575
39, Hóa chất / Sinh hóa / Thực phẩm,570
51, Lao động phổ thông,522
23, Xuất nhập khẩu / Ngoại thương,458
28, Nhà hàng / Dịch vụ ăn uống,426
48, Báo chí / Biên tập viên / Xuất bản,385
1, Biên phiên dịch (tiếng Nhật),384
44, Bất động sản,384
22, Vật tư / Mua hàng,381
40, Nông nghiệp / Lâm nghiệp,357
54, Quản lý điều hành,335
30, Điện lạnh / Nhiệt lạnh,317
46, Nội thất / Ngoại thất,306
50, Viễn Thông,282
45, Kiến trúc,280
17, Thời trang,280
27, Khách sạn,213
3, Pháp lý / Luật,206
37, Dệt may / Da giày,200
41, Ô tô,190
43, Thuỷ Hải Sản,154
34, Môi trường / Xử lý chất thải,143
5, An Ninh / Bảo Vệ,128
38, Đồ Gỗ,100
35, An Toàn Lao Động,98
55, Khác,80
15, Hàng gia dụng,69
26, Du lịch,56
36, Dầu khí / Khoáng sản,24
53, Người nước ngoài,6
9, Phi chính phủ / Phi lợi nhuận,1
