,Industry,No. of Jobs
14, Bán hàng,5399
19, Tư vấn,3971
8, Dịch vụ khách hàng,3115
18, Tiếp thị,2055
11, Kế toán / Kiểm toán,1953
13, Tài chính / Đầu tư,1823
25, CNTT - Phần mềm,1671
33, Kỹ thuật ứng dụng / Cơ khí,1652
4, Thư ký / Hành chánh,1598
16, Quảng cáo / Khuyến mãi / Đối ngoại,1497
32, Điện / Điện tử,1469
10, Bảo hiểm,1354
52, Mới tốt nghiệp / Thực tập,1341
6, Bán lẻ / Bán sỉ,1289
0, Biên phiên dịch / Thông dịch viên,1260
21, Vận chuyển / Giao thông / Kho bãi,1087
42, Sản xuất / Vận hành sản xuất,1063
12, Ngân hàng / Chứng khoán,875
31, Dược / Sinh học,854
49, Nghệ thuật / Thiết kế / Giải trí,835
24, CNTT - Phần cứng / Mạng,812
29, Bảo trì / Sửa chữa,793
47, Xây dựng,775
2, Nhân sự,691
20, Quản lý chất lượng (QA / QC),687
51, Lao động phổ thông,558
7, Chăm sóc sức khỏe / Y tế,553
39, Hóa chất / Sinh hóa / Thực phẩm,528
28, Nhà hàng / Dịch vụ ăn uống,486
23, Xuất nhập khẩu / Ngoại thương,485
1, Biên phiên dịch (tiếng Nhật),424
22, Vật tư / Mua hàng,391
44, Bất động sản,386
48, Báo chí / Biên tập viên / Xuất bản,377
46, Nội thất / Ngoại thất,339
54, Quản lý điều hành,324
27, Khách sạn,321
30, Điện lạnh / Nhiệt lạnh,318
45, Kiến trúc,318
50, Viễn Thông,291
17, Thời trang,238
40, Nông nghiệp / Lâm nghiệp,233
3, Pháp lý / Luật,227
37, Dệt may / Da giày,223
41, Ô tô,155
5, An Ninh / Bảo Vệ,139
34, Môi trường / Xử lý chất thải,129
43, Thuỷ Hải Sản,126
35, An Toàn Lao Động,101
38, Đồ Gỗ,95
55, Khác,84
15, Hàng gia dụng,68
26, Du lịch,55
36, Dầu khí / Khoáng sản,29
9, Phi chính phủ / Phi lợi nhuận,5
53, Người nước ngoài,3
