,Industry,No. of Jobs
11,Tài chính/Đầu tư,1787
22,Điện/Điện tử,1147
0,Xây dựng,1053
23,Cơ khí,987
10,Kiểm toán,928
9,Ngân hàng,911
6,Quảng cáo/Khuyến mãi/Đối ngoại,770
44,Vận chuyển/Giao nhận,702
7,Internet/Online Media,669
1,Kiến trúc/Thiết kế nội thất,631
41,Giáo dục/Đào tạo,548
5,Mỹ Thuật/Nghệ Thuật/Thiết Kế,532
16,Bán lẻ/Bán sỉ,522
2,Bất động sản,481
43,Tư vấn,472
30,Tự động hóa/Ô tô,432
28,Dệt may/Da giày,430
14,Hàng tiêu dùng,386
17,Thực phẩm & Đồ uống,366
32,Sản phẩm công nghiệp,326
42,Y tế/Chăm sóc sức khỏe,322
35,Y tế/Chăm sóc sức khỏe,322
21,Nhà hàng/Khách sạn,321
45,Kho vận,299
4,Truyền hình/Truyền thông/Báo chí,289
24,Hóa học/Hóa sinh,281
13,Bảo hiểm,242
29,Dược Phẩm/Công nghệ sinh học,233
20,Hàng không/Du lịch,196
3,Viễn Thông,194
18,Thời trang,174
26,Điện lạnh/Nhiệt lạnh,160
25,Môi trường/Xử lý chất thải,152
12,Chứng khoán,150
33,Công nghệ cao,135
39,Trình dược viên,129
46,Hàng hải,118
31,Nông nghiệp/Lâm nghiệp,107
38,Dược sĩ,102
8,In ấn/ Xuất bản,79
40,Phi chính phủ/Phi lợi nhuận,76
27,Dầu khí,66
15,Hàng gia dụng,66
19,Hàng cao cấp,33
36,Bác sĩ,25
34,Địa chất/Khoáng sản,24
37,Y sĩ/Hộ lý,20
