,Industry,No. of Jobs
0,Bán hàng / Kinh doanh,3966
1,Kế toán / Kiểm toán,2098
2,Ngân hàng,2020
3,Tiếp thị / Marketing,2017
4,Tài chính / Đầu tư,1858
5,Dịch vụ khách hàng,1782
6,Hành chính / Thư ký,1565
7,Bán lẻ / Bán sỉ,1470
8,CNTT - Phần mềm,1314
9,Nhân sự,1161
10,Điện / Điện tử / Điện lạnh,1127
11,Sản xuất / Vận hành sản xuất,1102
12,Cơ khí / Ô tô / Tự động hóa,1079
13,Quảng cáo / Đối ngoại / Truyền Thông,897
14,Tư vấn,884
15,Xây dựng,880
16,Quản lý điều hành,837
17,CNTT - Phần cứng / Mạng,804
18,Vận chuyển / Giao nhận /  Kho vận,736
19,Bất động sản,727
