,Industry,No. of Jobs
49,Hành chính-Văn phòng,358.0
33,Nhân viên kinh doanh,250.0
52,Kế toán-Kiểm toán,232.0
24,Kỹ thuật,198.0
9,Bán hàng ,174.0
35,Tư vấn,159.0
0,Điện-Điện tử-Điện lạnh,129.0
34,Cơ khí-Chế tạo,124.0
23,Xây dựng,121.0
57,Quản trị kinh doanh,112.0
25,Lao động phổ thông,71.0
63,Tài chính-Đầu tư,64.0
22,Kho vận-Vật tư,63.0
11,Thực phẩm-Đồ uống,62.0
43,Nhân sự,60.0
59,Marketing-PR,58.0
54,Ngân hàng,54.0
51,Thư ký-Trợ lý,54.0
45,Y tế-Dược,53.0
64,Kiến trúc-TK nội thất,50.0
15,Công nghiệp,48.0
48,Ngoại thương-Xuất nhập khẩu,47.0
55,IT phần mềm,42.0
17,Dệt may - Da giày,42.0
65,IT phần cứng/mạng,42.0
1,Dịch vụ,41.0
19,Thiết kế-Mỹ thuật,38.0
10,Vận tải,38.0
41,Hoá học-Sinh học,36.0
50,Biên-Phiên dịch,36.0
42,Khách sạn-Nhà hàng,29.0
4,Kỹ thuật ứng dụng,23.0
7,Điện tử viễn thông,21.0
20,KD bất động sản,21.0
40,Ô tô - Xe máy,21.0
32,Tiếp thị-Quảng cáo,20.0
12,Ngành nghề khác,17.0
46,Thiết kế đồ hoạ web,15.0
56,Thương mại điện tử,15.0
14,Spa-Mỹ phẩm-Trang sức,14.0
44,Hoạch định-Dự án,14.0
16,An ninh-Bảo vệ,13.0
61,Pháp lý-Luật,13.0
3,Nông-Lâm-Ngư nghiệp,12.0
8,Bảo hiểm,12.0
28,In ấn-Xuất bản,8.0
66,Quan hệ đối ngoại,8.0
30,Thời trang,8.0
5,Hàng hải,7.0
53,Công nghệ cao,7.0
18,Dầu khí-Hóa chất,6.0
60,Báo chí-Truyền hình,5.0
67,Thực tập,5.0
47,Du lịch,5.0
31,Làm bán thời gian,4.0
2,Thủ công mỹ nghệ,3.0
39,Hàng không,3.0
58,Giáo dục-Đào tạo,3.0
29,Sinh viên làm thêm,3.0
36,Tổ chức sự kiện-Quà tặng,2.0
27,Người giúp việc,2.0
21,Chứng khoán- Vàng,2.0
38,Hàng gia dụng,2.0
62,Nghệ thuật - Điện ảnh,1.0
26,Bưu chính,1.0
37,Game,0.0
6,NV trông quán Internet,0.0
13,Promotion Girl (PG),0.0
