,Industry,No. of Jobs
32,Nhân viên kinh doanh,423.0
51,Hành chính-Văn phòng,352.0
20,Bán hàng ,296.0
38,Tư vấn,259.0
23,Kỹ thuật,228.0
59,Kế toán-Kiểm toán,185.0
37,Xây dựng,159.0
19,Điện-Điện tử-Điện lạnh,150.0
44,Quản trị kinh doanh,125.0
8,Cơ khí-Chế tạo,114.0
15,Lao động phổ thông,108.0
43,Marketing-PR,96.0
45,Kiến trúc-TK nội thất,83.0
33,Thực phẩm-Đồ uống,82.0
47,Nhân sự,72.0
27,Dịch vụ,70.0
12,Thiết kế-Mỹ thuật,64.0
66,Y tế-Dược,62.0
61,Tài chính-Đầu tư,60.0
41,Tiếp thị-Quảng cáo,55.0
29,KD bất động sản,54.0
18,Kho vận-Vật tư,54.0
52,Ngoại thương-Xuất nhập khẩu,50.0
11,Khách sạn-Nhà hàng,50.0
62,Thư ký-Trợ lý,46.0
63,IT phần mềm,43.0
10,Hoá học-Sinh học,42.0
65,Ngân hàng,42.0
55,Thiết kế đồ hoạ web,40.0
54,IT phần cứng/mạng,40.0
9,Kỹ thuật ứng dụng,37.0
3,Công nghiệp,37.0
42,Spa-Mỹ phẩm-Trang sức,32.0
30,Vận tải,32.0
0,Dệt may - Da giày,28.0
21,Làm bán thời gian,28.0
24,In ấn-Xuất bản,28.0
7,Ngành nghề khác,27.0
49,Giáo dục-Đào tạo,26.0
60,Biên-Phiên dịch,24.0
31,Ô tô - Xe máy,23.0
58,Báo chí-Truyền hình,23.0
25,Nông-Lâm-Ngư nghiệp,21.0
2,Sinh viên làm thêm,21.0
4,Điện tử viễn thông,20.0
48,Pháp lý-Luật,17.0
64,Thương mại điện tử,17.0
35,Bảo hiểm,13.0
34,Thời trang,11.0
40,An ninh-Bảo vệ,10.0
39,Hàng hải,8.0
28,Dầu khí-Hóa chất,7.0
16,Tổ chức sự kiện-Quà tặng,7.0
56,Du lịch,7.0
17,Hàng gia dụng,7.0
50,Quan hệ đối ngoại,6.0
53,Hoạch định-Dự án,6.0
6,Chứng khoán- Vàng,6.0
46,Công nghệ cao,5.0
57,Nghệ thuật - Điện ảnh,4.0
26,Promotion Girl (PG),3.0
22,Người giúp việc,3.0
1,Bưu chính,2.0
5,Thủ công mỹ nghệ,2.0
67,Thực tập,2.0
13,Game,1.0
36,Hàng không,1.0
14,NV trông quán Internet,0.0
