,Industry,No. of Jobs
14, Bán hàng,5993
19, Tư vấn,3984
8, Dịch vụ khách hàng,2761
18, Tiếp thị,1982
11, Kế toán / Kiểm toán,1659
13, Tài chính / Đầu tư,1635
31, Dược / Sinh học,1501
33, Kỹ thuật ứng dụng / Cơ khí,1456
25, CNTT - Phần mềm,1453
10, Bảo hiểm,1434
16, Quảng cáo / Khuyến mãi / Đối ngoại,1343
32, Điện / Điện tử,1334
6, Bán lẻ / Bán sỉ,1323
52, Mới tốt nghiệp / Thực tập,1310
4, Thư ký / Hành chánh,1285
0, Biên phiên dịch / Thông dịch viên,1133
42, Sản xuất / Vận hành sản xuất,971
12, Ngân hàng / Chứng khoán,934
21, Vận chuyển / Giao thông / Kho bãi,903
7, Chăm sóc sức khỏe / Y tế,833
29, Bảo trì / Sửa chữa,755
47, Xây dựng,749
49, Nghệ thuật / Thiết kế / Giải trí,691
24, CNTT - Phần cứng / Mạng,668
20, Quản lý chất lượng (QA / QC),635
2, Nhân sự,571
39, Hóa chất / Sinh hóa / Thực phẩm,560
51, Lao động phổ thông,489
23, Xuất nhập khẩu / Ngoại thương,409
44, Bất động sản,384
48, Báo chí / Biên tập viên / Xuất bản,369
40, Nông nghiệp / Lâm nghiệp,355
22, Vật tư / Mua hàng,341
1, Biên phiên dịch (tiếng Nhật),334
28, Nhà hàng / Dịch vụ ăn uống,333
54, Quản lý điều hành,324
30, Điện lạnh / Nhiệt lạnh,302
17, Thời trang,296
45, Kiến trúc,292
46, Nội thất / Ngoại thất,278
50, Viễn Thông,276
37, Dệt may / Da giày,215
3, Pháp lý / Luật,202
41, Ô tô,180
27, Khách sạn,169
34, Môi trường / Xử lý chất thải,160
43, Thuỷ Hải Sản,119
5, An Ninh / Bảo Vệ,117
35, An Toàn Lao Động,98
38, Đồ Gỗ,89
55, Khác,64
15, Hàng gia dụng,57
26, Du lịch,42
36, Dầu khí / Khoáng sản,29
9, Phi chính phủ / Phi lợi nhuận,9
53, Người nước ngoài,6
