,Industry,No. of Jobs
14, Bán hàng,5038
19, Tư vấn,3795
8, Dịch vụ khách hàng,2856
11, Kế toán / Kiểm toán,1912
18, Tiếp thị,1911
13, Tài chính / Đầu tư,1838
33, Kỹ thuật ứng dụng / Cơ khí,1639
25, CNTT - Phần mềm,1626
4, Thư ký / Hành chánh,1506
32, Điện / Điện tử,1412
16, Quảng cáo / Khuyến mãi / Đối ngoại,1385
52, Mới tốt nghiệp / Thực tập,1310
10, Bảo hiểm,1276
6, Bán lẻ / Bán sỉ,1257
0, Biên phiên dịch / Thông dịch viên,1191
42, Sản xuất / Vận hành sản xuất,1041
21, Vận chuyển / Giao thông / Kho bãi,1031
49, Nghệ thuật / Thiết kế / Giải trí,816
12, Ngân hàng / Chứng khoán,798
24, CNTT - Phần cứng / Mạng,796
47, Xây dựng,776
29, Bảo trì / Sửa chữa,757
2, Nhân sự,650
31, Dược / Sinh học,633
20, Quản lý chất lượng (QA / QC),631
51, Lao động phổ thông,546
39, Hóa chất / Sinh hóa / Thực phẩm,498
23, Xuất nhập khẩu / Ngoại thương,472
1, Biên phiên dịch (tiếng Nhật),464
7, Chăm sóc sức khỏe / Y tế,427
44, Bất động sản,391
28, Nhà hàng / Dịch vụ ăn uống,391
22, Vật tư / Mua hàng,388
48, Báo chí / Biên tập viên / Xuất bản,353
30, Điện lạnh / Nhiệt lạnh,319
45, Kiến trúc,306
46, Nội thất / Ngoại thất,301
50, Viễn Thông,300
54, Quản lý điều hành,288
27, Khách sạn,275
37, Dệt may / Da giày,243
3, Pháp lý / Luật,226
17, Thời trang,218
41, Ô tô,157
40, Nông nghiệp / Lâm nghiệp,148
5, An Ninh / Bảo Vệ,137
34, Môi trường / Xử lý chất thải,137
35, An Toàn Lao Động,100
43, Thuỷ Hải Sản,90
55, Khác,87
38, Đồ Gỗ,85
15, Hàng gia dụng,67
26, Du lịch,58
36, Dầu khí / Khoáng sản,25
53, Người nước ngoài,5
9, Phi chính phủ / Phi lợi nhuận,3
