,Industry,No. of Jobs
0,Bán hàng / Kinh doanh,3982
1,Kế toán / Kiểm toán,2062
2,Ngân hàng,1999
3,Tiếp thị / Marketing,1911
4,Tài chính / Đầu tư,1852
5,Dịch vụ khách hàng,1597
6,Bán lẻ / Bán sỉ,1422
7,Hành chính / Thư ký,1356
8,CNTT - Phần mềm,1339
9,Điện / Điện tử / Điện lạnh,1130
10,Cơ khí / Ô tô / Tự động hóa,1084
11,Sản xuất / Vận hành sản xuất,1074
12,Nhân sự,939
13,Xây dựng,884
14,Tư vấn,843
15,Quản lý điều hành,829
16,CNTT - Phần cứng / Mạng,817
17,Quảng cáo / Đối ngoại / Truyền Thông,805
18,Bất động sản,712
19,Vận chuyển / Giao nhận /  Kho vận,698
