,Industry,No. of Jobs
11,Tài chính/Đầu tư,1066
22,Điện/Điện tử,774
0,Xây dựng,721
23,Cơ khí,636
9,Ngân hàng,600
10,Kiểm toán,524
6,Quảng cáo/Khuyến mãi/Đối ngoại,477
7,Internet/Online Media,436
1,Kiến trúc/Thiết kế nội thất,409
41,Giáo dục/Đào tạo,389
2,Bất động sản,376
44,Vận chuyển/Giao nhận,346
16,Bán lẻ/Bán sỉ,332
5,Mỹ Thuật/Nghệ Thuật/Thiết Kế,304
43,Tư vấn,285
30,Tự động hóa/Ô tô,255
42,Y tế/Chăm sóc sức khỏe,233
35,Y tế/Chăm sóc sức khỏe,233
17,Thực phẩm & Đồ uống,229
32,Sản phẩm công nghiệp,226
14,Hàng tiêu dùng,204
24,Hóa học/Hóa sinh,197
13,Bảo hiểm,193
3,Viễn Thông,166
29,Dược Phẩm/Công nghệ sinh học,156
4,Truyền hình/Truyền thông/Báo chí,156
21,Nhà hàng/Khách sạn,150
28,Dệt may/Da giày,149
12,Chứng khoán,136
45,Kho vận,124
33,Công nghệ cao,114
26,Điện lạnh/Nhiệt lạnh,110
18,Thời trang,95
25,Môi trường/Xử lý chất thải,91
31,Nông nghiệp/Lâm nghiệp,78
46,Hàng hải,66
39,Trình dược viên,60
20,Hàng không/Du lịch,51
38,Dược sĩ,50
27,Dầu khí,44
15,Hàng gia dụng,44
8,In ấn/ Xuất bản,38
19,Hàng cao cấp,35
40,Phi chính phủ/Phi lợi nhuận,32
34,Địa chất/Khoáng sản,19
37,Y sĩ/Hộ lý,18
36,Bác sĩ,17
