,Industry,No. of Jobs
7,Nhân viên kinh doanh,326.0
64,Hành chính-Văn phòng,267.0
17,Tư vấn,234.0
31,Bán hàng ,219.0
12,Kỹ thuật,159.0
56,Kế toán-Kiểm toán,129.0
20,Xây dựng,111.0
35,Điện-Điện tử-Điện lạnh,103.0
63,Quản trị kinh doanh,100.0
47,Marketing-PR,94.0
18,Cơ khí-Chế tạo,91.0
51,Tài chính-Đầu tư,78.0
52,Kiến trúc-TK nội thất,73.0
15,Lao động phổ thông,66.0
9,Thực phẩm-Đồ uống,62.0
24,Thiết kế-Mỹ thuật,58.0
34,Kho vận-Vật tư,57.0
29,KD bất động sản,57.0
6,Dịch vụ,55.0
60,Y tế-Dược,55.0
65,Ngân hàng,55.0
49,Nhân sự,52.0
59,Thư ký-Trợ lý,43.0
16,Kỹ thuật ứng dụng,36.0
30,Công nghiệp,35.0
46,Thiết kế đồ hoạ web,34.0
0,Hoá học-Sinh học,33.0
4,Tiếp thị-Quảng cáo,33.0
27,Dệt may - Da giày,30.0
66,IT phần mềm,28.0
62,Ngoại thương-Xuất nhập khẩu,26.0
8,Làm bán thời gian,26.0
26,Vận tải,24.0
45,IT phần cứng/mạng,24.0
23,Khách sạn-Nhà hàng,22.0
44,Biên-Phiên dịch,21.0
61,Giáo dục-Đào tạo,20.0
21,Nông-Lâm-Ngư nghiệp,20.0
22,Ngành nghề khác,19.0
5,Sinh viên làm thêm,19.0
33,Bảo hiểm,18.0
32,Thời trang,17.0
2,Điện tử viễn thông,16.0
3,Spa-Mỹ phẩm-Trang sức,16.0
40,In ấn-Xuất bản,15.0
36,Ô tô - Xe máy,15.0
55,Thương mại điện tử,15.0
13,An ninh-Bảo vệ,14.0
53,Quan hệ đối ngoại,14.0
48,Báo chí-Truyền hình,14.0
50,Pháp lý-Luật,13.0
58,Hoạch định-Dự án,11.0
38,Hàng hải,9.0
39,Chứng khoán- Vàng,8.0
1,Dầu khí-Hóa chất,6.0
57,Công nghệ cao,5.0
43,Du lịch,5.0
19,Tổ chức sự kiện-Quà tặng,4.0
11,Bưu chính,4.0
41,Hàng gia dụng,3.0
25,Thủ công mỹ nghệ,3.0
28,Game,2.0
37,Người giúp việc,2.0
67,Thực tập,2.0
54,Nghệ thuật - Điện ảnh,1.0
14,Promotion Girl (PG),1.0
42,Hàng không,1.0
10,NV trông quán Internet,0.0
