,Industry,No. of Jobs
14, Bán hàng,2958
19, Tư vấn,2496
8, Dịch vụ khách hàng,1698
13, Tài chính / Đầu tư,1337
11, Kế toán / Kiểm toán,1294
33, Kỹ thuật ứng dụng / Cơ khí,1199
25, CNTT - Phần mềm,1109
18, Tiếp thị,1103
10, Bảo hiểm,1022
4, Thư ký / Hành chánh,969
32, Điện / Điện tử,956
52, Mới tốt nghiệp / Thực tập,888
16, Quảng cáo / Khuyến mãi / Đối ngoại,828
6, Bán lẻ / Bán sỉ,822
42, Sản xuất / Vận hành sản xuất,802
0, Biên phiên dịch / Thông dịch viên,778
21, Vận chuyển / Giao thông / Kho bãi,742
47, Xây dựng,552
12, Ngân hàng / Chứng khoán,548
29, Bảo trì / Sửa chữa,542
49, Nghệ thuật / Thiết kế / Giải trí,508
20, Quản lý chất lượng (QA / QC),500
24, CNTT - Phần cứng / Mạng,479
1, Biên phiên dịch (tiếng Nhật),463
51, Lao động phổ thông,453
2, Nhân sự,444
23, Xuất nhập khẩu / Ngoại thương,385
22, Vật tư / Mua hàng,305
31, Dược / Sinh học,304
39, Hóa chất / Sinh hóa / Thực phẩm,284
44, Bất động sản,256
7, Chăm sóc sức khỏe / Y tế,245
37, Dệt may / Da giày,217
48, Báo chí / Biên tập viên / Xuất bản,209
30, Điện lạnh / Nhiệt lạnh,201
45, Kiến trúc,187
50, Viễn Thông,187
54, Quản lý điều hành,185
46, Nội thất / Ngoại thất,185
28, Nhà hàng / Dịch vụ ăn uống,177
3, Pháp lý / Luật,149
5, An Ninh / Bảo Vệ,115
41, Ô tô,109
17, Thời trang,103
34, Môi trường / Xử lý chất thải,87
35, An Toàn Lao Động,73
38, Đồ Gỗ,63
27, Khách sạn,62
40, Nông nghiệp / Lâm nghiệp,59
55, Khác,48
43, Thuỷ Hải Sản,40
15, Hàng gia dụng,39
26, Du lịch,30
36, Dầu khí / Khoáng sản,22
53, Người nước ngoài,3
9, Phi chính phủ / Phi lợi nhuận,0
