,Industry,No. of Jobs
40,Nhân viên kinh doanh,352.0
50,Hành chính-Văn phòng,287.0
26,Tư vấn,255.0
22,Bán hàng ,247.0
27,Kỹ thuật,181.0
46,Kế toán-Kiểm toán,143.0
18,Xây dựng,122.0
10,Điện-Điện tử-Điện lạnh,120.0
48,Quản trị kinh doanh,102.0
9,Cơ khí-Chế tạo,91.0
66,Kiến trúc-TK nội thất,79.0
52,Tài chính-Đầu tư,74.0
43,Marketing-PR,72.0
32,Lao động phổ thông,69.0
14,Thực phẩm-Đồ uống,68.0
6,KD bất động sản,55.0
12,Kho vận-Vật tư,55.0
64,Nhân sự,54.0
19,Dịch vụ,54.0
44,Y tế-Dược,53.0
54,Ngân hàng,52.0
17,Thiết kế-Mỹ thuật,52.0
56,Thư ký-Trợ lý,48.0
37,Tiếp thị-Quảng cáo,43.0
4,Làm bán thời gian,38.0
11,Công nghiệp,37.0
13,Kỹ thuật ứng dụng,34.0
45,Thiết kế đồ hoạ web,33.0
65,Ngoại thương-Xuất nhập khẩu,32.0
30,Sinh viên làm thêm,30.0
55,IT phần mềm,30.0
63,IT phần cứng/mạng,30.0
35,Hoá học-Sinh học,29.0
38,Vận tải,28.0
15,Khách sạn-Nhà hàng,27.0
3,Spa-Mỹ phẩm-Trang sức,27.0
29,Dệt may - Da giày,23.0
20,Ngành nghề khác,22.0
49,Biên-Phiên dịch,21.0
61,Giáo dục-Đào tạo,20.0
21,In ấn-Xuất bản,19.0
16,Điện tử viễn thông,19.0
33,Thời trang,19.0
36,Nông-Lâm-Ngư nghiệp,17.0
39,Ô tô - Xe máy,17.0
58,Báo chí-Truyền hình,16.0
53,Pháp lý-Luật,14.0
28,Bảo hiểm,14.0
47,Quan hệ đối ngoại,11.0
59,Thương mại điện tử,11.0
25,An ninh-Bảo vệ,10.0
62,Hoạch định-Dự án,10.0
23,Hàng hải,8.0
7,Dầu khí-Hóa chất,6.0
57,Nghệ thuật - Điện ảnh,5.0
60,Công nghệ cao,5.0
1,Bưu chính,5.0
2,Chứng khoán- Vàng,5.0
51,Du lịch,4.0
24,Tổ chức sự kiện-Quà tặng,4.0
67,Thực tập,3.0
0,Promotion Girl (PG),2.0
42,Game,2.0
8,Hàng gia dụng,2.0
34,Người giúp việc,2.0
41,Thủ công mỹ nghệ,1.0
31,Hàng không,0.0
5,NV trông quán Internet,0.0
