,Industry,No. of Jobs
14, Bán hàng,3484
19, Tư vấn,3035
8, Dịch vụ khách hàng,2093
13, Tài chính / Đầu tư,1572
11, Kế toán / Kiểm toán,1536
18, Tiếp thị,1355
25, CNTT - Phần mềm,1287
33, Kỹ thuật ứng dụng / Cơ khí,1260
10, Bảo hiểm,1166
32, Điện / Điện tử,1112
4, Thư ký / Hành chánh,1082
52, Mới tốt nghiệp / Thực tập,987
6, Bán lẻ / Bán sỉ,968
16, Quảng cáo / Khuyến mãi / Đối ngoại,960
0, Biên phiên dịch / Thông dịch viên,868
21, Vận chuyển / Giao thông / Kho bãi,809
42, Sản xuất / Vận hành sản xuất,783
12, Ngân hàng / Chứng khoán,661
24, CNTT - Phần cứng / Mạng,611
29, Bảo trì / Sửa chữa,571
47, Xây dựng,568
49, Nghệ thuật / Thiết kế / Giải trí,549
2, Nhân sự,480
20, Quản lý chất lượng (QA / QC),473
1, Biên phiên dịch (tiếng Nhật),456
51, Lao động phổ thông,426
23, Xuất nhập khẩu / Ngoại thương,414
39, Hóa chất / Sinh hóa / Thực phẩm,327
31, Dược / Sinh học,306
22, Vật tư / Mua hàng,305
7, Chăm sóc sức khỏe / Y tế,291
44, Bất động sản,280
50, Viễn Thông,244
30, Điện lạnh / Nhiệt lạnh,234
54, Quản lý điều hành,232
48, Báo chí / Biên tập viên / Xuất bản,224
28, Nhà hàng / Dịch vụ ăn uống,216
46, Nội thất / Ngoại thất,215
45, Kiến trúc,211
37, Dệt may / Da giày,199
3, Pháp lý / Luật,181
17, Thời trang,144
41, Ô tô,118
27, Khách sạn,117
5, An Ninh / Bảo Vệ,115
34, Môi trường / Xử lý chất thải,101
35, An Toàn Lao Động,74
40, Nông nghiệp / Lâm nghiệp,72
38, Đồ Gỗ,65
55, Khác,59
43, Thuỷ Hải Sản,52
15, Hàng gia dụng,49
26, Du lịch,31
36, Dầu khí / Khoáng sản,19
53, Người nước ngoài,2
9, Phi chính phủ / Phi lợi nhuận,0
