,Industry,No. of Jobs
64,Hành chính-Văn phòng,763.0
2,Bán hàng ,720.0
38,Tư vấn,619.0
25,Nhân viên kinh doanh,602.0
48,Kế toán-Kiểm toán,441.0
6,Kỹ thuật,423.0
28,Điện-Điện tử-Điện lạnh,297.0
4,Xây dựng,278.0
63,Marketing-PR,256.0
44,Quản trị kinh doanh,238.0
11,Lao động phổ thông,233.0
42,Cơ khí-Chế tạo,230.0
66,Kiến trúc-TK nội thất,162.0
53,IT phần mềm,139.0
40,Kho vận-Vật tư,138.0
50,Y tế-Dược,133.0
1,Thiết kế-Mỹ thuật,126.0
15,KD bất động sản,122.0
19,Dịch vụ,117.0
16,Thực phẩm-Đồ uống,113.0
59,Tài chính-Đầu tư,113.0
45,Ngoại thương-Xuất nhập khẩu,113.0
43,IT phần cứng/mạng,108.0
47,Thư ký-Trợ lý,107.0
52,Nhân sự,96.0
58,Thiết kế đồ hoạ web,88.0
60,Ngân hàng,87.0
3,Tiếp thị-Quảng cáo,86.0
8,Vận tải,80.0
41,Hoá học-Sinh học,78.0
29,Công nghiệp,74.0
35,Ngành nghề khác,71.0
12,Kỹ thuật ứng dụng,68.0
62,Giáo dục-Đào tạo,65.0
9,Khách sạn-Nhà hàng,59.0
31,Nông-Lâm-Ngư nghiệp,58.0
7,Điện tử viễn thông,57.0
34,Dệt may - Da giày,55.0
24,Ô tô - Xe máy,52.0
46,Thương mại điện tử,52.0
55,Biên-Phiên dịch,50.0
18,In ấn-Xuất bản,46.0
27,Spa-Mỹ phẩm-Trang sức,45.0
17,Thời trang,45.0
22,Làm bán thời gian,37.0
37,An ninh-Bảo vệ,30.0
26,Bảo hiểm,28.0
65,Hoạch định-Dự án,27.0
61,Pháp lý-Luật,26.0
51,Báo chí-Truyền hình,24.0
32,Chứng khoán- Vàng,21.0
23,Sinh viên làm thêm,21.0
54,Du lịch,15.0
0,Dầu khí-Hóa chất,14.0
39,Hàng hải,14.0
49,Quan hệ đối ngoại,13.0
13,Bưu chính,12.0
10,Người giúp việc,12.0
5,Tổ chức sự kiện-Quà tặng,11.0
57,Công nghệ cao,8.0
36,Hàng gia dụng,8.0
56,Nghệ thuật - Điện ảnh,7.0
33,Thủ công mỹ nghệ,7.0
14,Promotion Girl (PG),5.0
67,Thực tập,5.0
20,Hàng không,3.0
30,Game,2.0
21,NV trông quán Internet,1.0
