,Industry,No. of Jobs
59,Hành chính-Văn phòng,320.0
30,Nhân viên kinh doanh,272.0
47,Kế toán-Kiểm toán,207.0
6,Bán hàng ,198.0
38,Kỹ thuật,183.0
16,Tư vấn,181.0
21,Xây dựng,151.0
34,Điện-Điện tử-Điện lạnh,120.0
3,Cơ khí-Chế tạo,109.0
50,Quản trị kinh doanh,98.0
12,Lao động phổ thông,79.0
7,Thực phẩm-Đồ uống,74.0
66,Marketing-PR,69.0
46,Tài chính-Đầu tư,65.0
35,Kho vận-Vật tư,52.0
65,Ngân hàng,52.0
52,Kiến trúc-TK nội thất,52.0
56,Nhân sự,50.0
58,Y tế-Dược,48.0
64,IT phần mềm,46.0
1,Dịch vụ,45.0
62,Thư ký-Trợ lý,40.0
25,Công nghiệp,40.0
11,KD bất động sản,38.0
61,Ngoại thương-Xuất nhập khẩu,38.0
23,Hoá học-Sinh học,38.0
0,Vận tải,37.0
19,Làm bán thời gian,37.0
49,IT phần cứng/mạng,36.0
8,Khách sạn-Nhà hàng,33.0
13,Thiết kế-Mỹ thuật,33.0
48,Biên-Phiên dịch,33.0
10,Dệt may - Da giày,25.0
24,Ô tô - Xe máy,23.0
28,Sinh viên làm thêm,23.0
33,Kỹ thuật ứng dụng,21.0
36,Tiếp thị-Quảng cáo,20.0
32,Bảo hiểm,20.0
4,Ngành nghề khác,20.0
9,Điện tử viễn thông,18.0
18,Nông-Lâm-Ngư nghiệp,17.0
39,Thời trang,15.0
45,Thương mại điện tử,15.0
15,An ninh-Bảo vệ,14.0
57,Hoạch định-Dự án,13.0
54,Thiết kế đồ hoạ web,13.0
60,Pháp lý-Luật,12.0
40,In ấn-Xuất bản,12.0
67,Thực tập,10.0
43,Báo chí-Truyền hình,10.0
31,Spa-Mỹ phẩm-Trang sức,8.0
5,Dầu khí-Hóa chất,7.0
55,Công nghệ cao,7.0
44,Giáo dục-Đào tạo,6.0
51,Quan hệ đối ngoại,6.0
26,Hàng hải,6.0
20,Thủ công mỹ nghệ,5.0
29,Chứng khoán- Vàng,4.0
41,Bưu chính,3.0
17,Tổ chức sự kiện-Quà tặng,3.0
63,Du lịch,3.0
53,Nghệ thuật - Điện ảnh,3.0
27,Hàng gia dụng,3.0
37,Hàng không,2.0
22,Promotion Girl (PG),1.0
42,Game,1.0
2,Người giúp việc,1.0
14,NV trông quán Internet,0.0
