,Industry,No. of Jobs
58,Hành chính-Văn phòng,790.0
40,Nhân viên kinh doanh,611.0
31,Bán hàng ,441.0
54,Kế toán-Kiểm toán,440.0
1,Tư vấn,422.0
38,Kỹ thuật,385.0
35,Xây dựng,268.0
66,Quản trị kinh doanh,238.0
11,Cơ khí-Chế tạo,229.0
14,Điện-Điện tử-Điện lạnh,214.0
16,Lao động phổ thông,173.0
48,Marketing-PR,147.0
62,Kiến trúc-TK nội thất,147.0
59,Nhân sự,129.0
29,Kho vận-Vật tư,122.0
47,Thư ký-Trợ lý,122.0
43,Tài chính-Đầu tư,109.0
21,Thiết kế-Mỹ thuật,108.0
52,Ngoại thương-Xuất nhập khẩu,104.0
0,Thực phẩm-Đồ uống,92.0
53,Ngân hàng,92.0
18,Dịch vụ,89.0
39,Khách sạn-Nhà hàng,84.0
45,Y tế-Dược,83.0
61,IT phần mềm,81.0
37,Hoá học-Sinh học,79.0
32,Công nghiệp,79.0
26,Dệt may - Da giày,78.0
28,Tiếp thị-Quảng cáo,71.0
64,Thiết kế đồ hoạ web,70.0
10,Vận tải,67.0
49,Biên-Phiên dịch,66.0
60,IT phần cứng/mạng,66.0
4,KD bất động sản,63.0
24,Kỹ thuật ứng dụng,62.0
42,Ô tô - Xe máy,61.0
34,Ngành nghề khác,56.0
27,Spa-Mỹ phẩm-Trang sức,46.0
25,In ấn-Xuất bản,43.0
22,Điện tử viễn thông,39.0
44,Pháp lý-Luật,34.0
30,Dầu khí-Hóa chất,32.0
8,Thời trang,31.0
3,An ninh-Bảo vệ,28.0
46,Hoạch định-Dự án,27.0
57,Quan hệ đối ngoại,27.0
12,Nông-Lâm-Ngư nghiệp,26.0
5,Sinh viên làm thêm,20.0
63,Thương mại điện tử,20.0
65,Giáo dục-Đào tạo,19.0
56,Báo chí-Truyền hình,18.0
7,Làm bán thời gian,17.0
33,Bảo hiểm,13.0
51,Du lịch,12.0
9,Thủ công mỹ nghệ,11.0
17,Hàng hải,11.0
55,Công nghệ cao,9.0
13,Tổ chức sự kiện-Quà tặng,8.0
2,Hàng gia dụng,7.0
20,Chứng khoán- Vàng,4.0
41,Hàng không,4.0
6,Người giúp việc,4.0
36,Bưu chính,3.0
50,Nghệ thuật - Điện ảnh,3.0
67,Thực tập,2.0
23,Game,2.0
19,Promotion Girl (PG),1.0
15,NV trông quán Internet,1.0
