,Industry,No. of Jobs
14, Bán hàng,3529
19, Tư vấn,3002
8, Dịch vụ khách hàng,2132
13, Tài chính / Đầu tư,1560
11, Kế toán / Kiểm toán,1540
18, Tiếp thị,1346
25, CNTT - Phần mềm,1324
33, Kỹ thuật ứng dụng / Cơ khí,1260
10, Bảo hiểm,1118
32, Điện / Điện tử,1115
4, Thư ký / Hành chánh,1081
52, Mới tốt nghiệp / Thực tập,987
16, Quảng cáo / Khuyến mãi / Đối ngoại,964
6, Bán lẻ / Bán sỉ,963
0, Biên phiên dịch / Thông dịch viên,897
21, Vận chuyển / Giao thông / Kho bãi,816
42, Sản xuất / Vận hành sản xuất,759
12, Ngân hàng / Chứng khoán,657
24, CNTT - Phần cứng / Mạng,625
29, Bảo trì / Sửa chữa,579
49, Nghệ thuật / Thiết kế / Giải trí,560
47, Xây dựng,545
2, Nhân sự,486
20, Quản lý chất lượng (QA / QC),458
1, Biên phiên dịch (tiếng Nhật),449
51, Lao động phổ thông,437
23, Xuất nhập khẩu / Ngoại thương,390
31, Dược / Sinh học,336
39, Hóa chất / Sinh hóa / Thực phẩm,330
7, Chăm sóc sức khỏe / Y tế,307
22, Vật tư / Mua hàng,299
44, Bất động sản,263
30, Điện lạnh / Nhiệt lạnh,240
28, Nhà hàng / Dịch vụ ăn uống,238
50, Viễn Thông,237
48, Báo chí / Biên tập viên / Xuất bản,222
54, Quản lý điều hành,219
45, Kiến trúc,205
46, Nội thất / Ngoại thất,203
37, Dệt may / Da giày,195
3, Pháp lý / Luật,179
17, Thời trang,158
27, Khách sạn,150
41, Ô tô,124
5, An Ninh / Bảo Vệ,123
34, Môi trường / Xử lý chất thải,96
35, An Toàn Lao Động,75
40, Nông nghiệp / Lâm nghiệp,69
38, Đồ Gỗ,67
55, Khác,59
15, Hàng gia dụng,46
43, Thuỷ Hải Sản,44
26, Du lịch,38
36, Dầu khí / Khoáng sản,19
53, Người nước ngoài,3
9, Phi chính phủ / Phi lợi nhuận,0
