,Industry,No. of Jobs
11,Tài chính/Đầu tư,1138
22,Điện/Điện tử,913
23,Cơ khí,768
0,Xây dựng,677
9,Ngân hàng,637
10,Kiểm toán,620
6,Quảng cáo/Khuyến mãi/Đối ngoại,452
7,Internet/Online Media,443
44,Vận chuyển/Giao nhận,399
1,Kiến trúc/Thiết kế nội thất,387
30,Tự động hóa/Ô tô,332
16,Bán lẻ/Bán sỉ,328
5,Mỹ Thuật/Nghệ Thuật/Thiết Kế,311
2,Bất động sản,305
41,Giáo dục/Đào tạo,273
43,Tư vấn,272
14,Hàng tiêu dùng,262
28,Dệt may/Da giày,259
42,Y tế/Chăm sóc sức khỏe,247
35,Y tế/Chăm sóc sức khỏe,247
32,Sản phẩm công nghiệp,239
17,Thực phẩm & Đồ uống,233
24,Hóa học/Hóa sinh,207
29,Dược Phẩm/Công nghệ sinh học,182
3,Viễn Thông,165
13,Bảo hiểm,159
45,Kho vận,158
21,Nhà hàng/Khách sạn,135
33,Công nghệ cao,130
26,Điện lạnh/Nhiệt lạnh,128
4,Truyền hình/Truyền thông/Báo chí,126
12,Chứng khoán,114
25,Môi trường/Xử lý chất thải,109
39,Trình dược viên,97
18,Thời trang,92
38,Dược sĩ,84
20,Hàng không/Du lịch,84
31,Nông nghiệp/Lâm nghiệp,75
46,Hàng hải,54
15,Hàng gia dụng,53
40,Phi chính phủ/Phi lợi nhuận,49
8,In ấn/ Xuất bản,47
27,Dầu khí,41
37,Y sĩ/Hộ lý,25
36,Bác sĩ,20
19,Hàng cao cấp,19
34,Địa chất/Khoáng sản,18
