,Industry,No. of Jobs
11,Tài chính/Đầu tư,844
22,Điện/Điện tử,664
23,Cơ khí,540
9,Ngân hàng,532
0,Xây dựng,479
10,Kiểm toán,373
44,Vận chuyển/Giao nhận,278
1,Kiến trúc/Thiết kế nội thất,266
2,Bất động sản,263
7,Internet/Online Media,258
6,Quảng cáo/Khuyến mãi/Đối ngoại,255
30,Tự động hóa/Ô tô,227
16,Bán lẻ/Bán sỉ,217
13,Bảo hiểm,195
14,Hàng tiêu dùng,194
43,Tư vấn,184
5,Mỹ Thuật/Nghệ Thuật/Thiết Kế,177
41,Giáo dục/Đào tạo,172
32,Sản phẩm công nghiệp,170
17,Thực phẩm & Đồ uống,167
35,Y tế/Chăm sóc sức khỏe,154
42,Y tế/Chăm sóc sức khỏe,154
29,Dược Phẩm/Công nghệ sinh học,128
3,Viễn Thông,116
45,Kho vận,114
24,Hóa học/Hóa sinh,113
28,Dệt may/Da giày,108
33,Công nghệ cao,103
12,Chứng khoán,94
26,Điện lạnh/Nhiệt lạnh,93
25,Môi trường/Xử lý chất thải,81
4,Truyền hình/Truyền thông/Báo chí,77
21,Nhà hàng/Khách sạn,73
31,Nông nghiệp/Lâm nghiệp,69
39,Trình dược viên,49
20,Hàng không/Du lịch,40
38,Dược sĩ,39
15,Hàng gia dụng,39
46,Hàng hải,36
27,Dầu khí,34
8,In ấn/ Xuất bản,27
40,Phi chính phủ/Phi lợi nhuận,24
18,Thời trang,23
34,Địa chất/Khoáng sản,15
37,Y sĩ/Hộ lý,14
36,Bác sĩ,14
19,Hàng cao cấp,7
