,Industry,No. of Jobs
13,Nhân viên kinh doanh,693.0
59,Hành chính-Văn phòng,546.0
20,Bán hàng ,499.0
21,Tư vấn,416.0
25,Kỹ thuật,307.0
53,Kế toán-Kiểm toán,306.0
29,Xây dựng,214.0
10,Điện-Điện tử-Điện lạnh,208.0
39,Cơ khí-Chế tạo,199.0
55,Marketing-PR,171.0
47,Quản trị kinh doanh,168.0
7,Lao động phổ thông,151.0
50,Kiến trúc-TK nội thất,132.0
2,Thiết kế-Mỹ thuật,119.0
12,KD bất động sản,100.0
64,Nhân sự,94.0
4,Dịch vụ,93.0
18,Thực phẩm-Đồ uống,86.0
56,Tài chính-Đầu tư,84.0
45,Thư ký-Trợ lý,84.0
46,Y tế-Dược,77.0
57,Ngoại thương-Xuất nhập khẩu,76.0
60,IT phần mềm,75.0
58,Thiết kế đồ hoạ web,70.0
15,Kho vận-Vật tư,65.0
8,Tiếp thị-Quảng cáo,65.0
43,Ngân hàng,57.0
19,Công nghiệp,56.0
48,Giáo dục-Đào tạo,55.0
34,Khách sạn-Nhà hàng,55.0
3,Ngành nghề khác,54.0
41,Hoá học-Sinh học,53.0
40,Dệt may - Da giày,50.0
44,IT phần cứng/mạng,50.0
33,Spa-Mỹ phẩm-Trang sức,49.0
61,Biên-Phiên dịch,49.0
17,Vận tải,48.0
36,Kỹ thuật ứng dụng,47.0
38,In ấn-Xuất bản,43.0
26,Nông-Lâm-Ngư nghiệp,37.0
30,Ô tô - Xe máy,36.0
31,Làm bán thời gian,36.0
52,Báo chí-Truyền hình,33.0
0,Điện tử viễn thông,30.0
54,Thương mại điện tử,29.0
16,Sinh viên làm thêm,27.0
5,Thời trang,27.0
65,Hoạch định-Dự án,24.0
35,An ninh-Bảo vệ,20.0
51,Pháp lý-Luật,18.0
32,Bảo hiểm,17.0
23,Dầu khí-Hóa chất,16.0
63,Du lịch,15.0
27,Tổ chức sự kiện-Quà tặng,13.0
49,Quan hệ đối ngoại,13.0
14,Chứng khoán- Vàng,13.0
22,Thủ công mỹ nghệ,13.0
28,Hàng hải,8.0
9,Người giúp việc,8.0
66,Nghệ thuật - Điện ảnh,7.0
37,Bưu chính,6.0
62,Công nghệ cao,6.0
11,Hàng không,4.0
6,Hàng gia dụng,4.0
67,Thực tập,2.0
24,Game,2.0
1,Promotion Girl (PG),2.0
42,NV trông quán Internet,0.0
