,Industry,No. of Jobs
15,Nhân viên kinh doanh,794.0
57,Hành chính-Văn phòng,611.0
37,Bán hàng ,523.0
1,Tư vấn,454.0
56,Kế toán-Kiểm toán,397.0
40,Kỹ thuật,294.0
18,Xây dựng,236.0
22,Điện-Điện tử-Điện lạnh,223.0
66,Quản trị kinh doanh,191.0
11,Cơ khí-Chế tạo,185.0
53,Marketing-PR,184.0
41,Lao động phổ thông,165.0
16,KD bất động sản,118.0
47,Kiến trúc-TK nội thất,117.0
48,Y tế-Dược,109.0
25,Thiết kế-Mỹ thuật,98.0
8,Thực phẩm-Đồ uống,98.0
51,Tài chính-Đầu tư,96.0
62,IT phần mềm,96.0
10,Kho vận-Vật tư,93.0
33,Dịch vụ,81.0
55,Ngoại thương-Xuất nhập khẩu,80.0
64,Thư ký-Trợ lý,78.0
43,Nhân sự,77.0
54,Ngân hàng,73.0
6,Tiếp thị-Quảng cáo,69.0
49,IT phần cứng/mạng,62.0
61,Thiết kế đồ hoạ web,61.0
24,Công nghiệp,58.0
32,Hoá học-Sinh học,57.0
14,Làm bán thời gian,56.0
35,Khách sạn-Nhà hàng,54.0
50,Biên-Phiên dịch,50.0
34,Kỹ thuật ứng dụng,50.0
27,Dệt may - Da giày,50.0
26,Vận tải,45.0
63,Giáo dục-Đào tạo,44.0
23,Sinh viên làm thêm,41.0
13,Ngành nghề khác,40.0
31,Điện tử viễn thông,40.0
58,Thương mại điện tử,39.0
17,In ấn-Xuất bản,36.0
12,Nông-Lâm-Ngư nghiệp,34.0
2,Bảo hiểm,34.0
36,Spa-Mỹ phẩm-Trang sức,31.0
20,Thời trang,28.0
30,Ô tô - Xe máy,28.0
46,Báo chí-Truyền hình,28.0
38,An ninh-Bảo vệ,26.0
45,Hoạch định-Dự án,24.0
60,Pháp lý-Luật,21.0
28,Dầu khí-Hóa chất,18.0
0,Hàng hải,16.0
52,Công nghệ cao,15.0
59,Quan hệ đối ngoại,14.0
67,Thực tập,14.0
3,Tổ chức sự kiện-Quà tặng,11.0
7,Hàng gia dụng,9.0
21,Chứng khoán- Vàng,8.0
44,Du lịch,7.0
5,Thủ công mỹ nghệ,7.0
4,Game,7.0
65,Nghệ thuật - Điện ảnh,7.0
39,Bưu chính,4.0
29,Hàng không,4.0
9,Promotion Girl (PG),3.0
19,Người giúp việc,1.0
42,NV trông quán Internet,0.0
