,Industry,No. of Jobs
11,Tài chính/Đầu tư,1440
22,Điện/Điện tử,1041
23,Cơ khí,854
0,Xây dựng,800
10,Kiểm toán,781
9,Ngân hàng,744
6,Quảng cáo/Khuyến mãi/Đối ngoại,588
7,Internet/Online Media,537
44,Vận chuyển/Giao nhận,503
1,Kiến trúc/Thiết kế nội thất,480
16,Bán lẻ/Bán sỉ,416
5,Mỹ Thuật/Nghệ Thuật/Thiết Kế,405
2,Bất động sản,400
30,Tự động hóa/Ô tô,389
41,Giáo dục/Đào tạo,381
43,Tư vấn,372
28,Dệt may/Da giày,356
17,Thực phẩm & Đồ uống,291
14,Hàng tiêu dùng,291
42,Y tế/Chăm sóc sức khỏe,285
35,Y tế/Chăm sóc sức khỏe,285
32,Sản phẩm công nghiệp,270
24,Hóa học/Hóa sinh,245
45,Kho vận,234
29,Dược Phẩm/Công nghệ sinh học,204
21,Nhà hàng/Khách sạn,204
4,Truyền hình/Truyền thông/Báo chí,190
13,Bảo hiểm,183
3,Viễn Thông,177
18,Thời trang,144
26,Điện lạnh/Nhiệt lạnh,140
33,Công nghệ cao,134
25,Môi trường/Xử lý chất thải,134
12,Chứng khoán,123
20,Hàng không/Du lịch,120
39,Trình dược viên,103
38,Dược sĩ,97
31,Nông nghiệp/Lâm nghiệp,87
46,Hàng hải,79
27,Dầu khí,60
8,In ấn/ Xuất bản,56
15,Hàng gia dụng,49
40,Phi chính phủ/Phi lợi nhuận,48
19,Hàng cao cấp,24
36,Bác sĩ,22
37,Y sĩ/Hộ lý,22
34,Địa chất/Khoáng sản,21
