,Industry,No. of Jobs
11,Tài chính/Đầu tư,1159
22,Điện/Điện tử,783
0,Xây dựng,690
23,Cơ khí,635
9,Ngân hàng,629
10,Kiểm toán,576
6,Quảng cáo/Khuyến mãi/Đối ngoại,470
7,Internet/Online Media,407
1,Kiến trúc/Thiết kế nội thất,395
2,Bất động sản,392
41,Giáo dục/Đào tạo,370
16,Bán lẻ/Bán sỉ,358
44,Vận chuyển/Giao nhận,333
5,Mỹ Thuật/Nghệ Thuật/Thiết Kế,307
43,Tư vấn,288
30,Tự động hóa/Ô tô,280
17,Thực phẩm & Đồ uống,240
14,Hàng tiêu dùng,231
32,Sản phẩm công nghiệp,227
42,Y tế/Chăm sóc sức khỏe,202
35,Y tế/Chăm sóc sức khỏe,202
24,Hóa học/Hóa sinh,193
13,Bảo hiểm,187
21,Nhà hàng/Khách sạn,168
29,Dược Phẩm/Công nghệ sinh học,160
4,Truyền hình/Truyền thông/Báo chí,155
3,Viễn Thông,155
45,Kho vận,138
12,Chứng khoán,135
28,Dệt may/Da giày,133
33,Công nghệ cao,111
26,Điện lạnh/Nhiệt lạnh,102
25,Môi trường/Xử lý chất thải,97
31,Nông nghiệp/Lâm nghiệp,81
18,Thời trang,79
39,Trình dược viên,63
46,Hàng hải,60
20,Hàng không/Du lịch,57
38,Dược sĩ,56
15,Hàng gia dụng,51
40,Phi chính phủ/Phi lợi nhuận,43
27,Dầu khí,37
8,In ấn/ Xuất bản,32
19,Hàng cao cấp,30
34,Địa chất/Khoáng sản,22
36,Bác sĩ,15
37,Y sĩ/Hộ lý,14
