,Industry,No. of Jobs
14, Bán hàng,2957
19, Tư vấn,2607
8, Dịch vụ khách hàng,1758
13, Tài chính / Đầu tư,1356
11, Kế toán / Kiểm toán,1279
25, CNTT - Phần mềm,1145
33, Kỹ thuật ứng dụng / Cơ khí,1136
18, Tiếp thị,1126
10, Bảo hiểm,1062
32, Điện / Điện tử,935
4, Thư ký / Hành chánh,920
52, Mới tốt nghiệp / Thực tập,863
6, Bán lẻ / Bán sỉ,824
16, Quảng cáo / Khuyến mãi / Đối ngoại,818
0, Biên phiên dịch / Thông dịch viên,760
42, Sản xuất / Vận hành sản xuất,715
21, Vận chuyển / Giao thông / Kho bãi,667
12, Ngân hàng / Chứng khoán,568
47, Xây dựng,534
29, Bảo trì / Sửa chữa,501
24, CNTT - Phần cứng / Mạng,485
49, Nghệ thuật / Thiết kế / Giải trí,482
20, Quản lý chất lượng (QA / QC),447
2, Nhân sự,431
1, Biên phiên dịch (tiếng Nhật),420
23, Xuất nhập khẩu / Ngoại thương,363
51, Lao động phổ thông,362
31, Dược / Sinh học,299
22, Vật tư / Mua hàng,298
39, Hóa chất / Sinh hóa / Thực phẩm,277
7, Chăm sóc sức khỏe / Y tế,255
44, Bất động sản,244
46, Nội thất / Ngoại thất,195
50, Viễn Thông,195
48, Báo chí / Biên tập viên / Xuất bản,191
54, Quản lý điều hành,190
45, Kiến trúc,187
30, Điện lạnh / Nhiệt lạnh,185
37, Dệt may / Da giày,181
28, Nhà hàng / Dịch vụ ăn uống,178
3, Pháp lý / Luật,155
17, Thời trang,122
5, An Ninh / Bảo Vệ,94
41, Ô tô,93
34, Môi trường / Xử lý chất thải,85
27, Khách sạn,77
40, Nông nghiệp / Lâm nghiệp,76
38, Đồ Gỗ,67
35, An Toàn Lao Động,58
55, Khác,46
15, Hàng gia dụng,43
43, Thuỷ Hải Sản,41
26, Du lịch,27
36, Dầu khí / Khoáng sản,17
53, Người nước ngoài,3
9, Phi chính phủ / Phi lợi nhuận,0
