,Industry,No. of Jobs
39,Nhân viên kinh doanh,286.0
15,Tư vấn,219.0
16,Bán hàng ,216.0
49,Hành chính-Văn phòng,215.0
3,Kỹ thuật,150.0
9,Xây dựng,108.0
54,Kế toán-Kiểm toán,108.0
21,Cơ khí-Chế tạo,102.0
0,Điện-Điện tử-Điện lạnh,96.0
63,Quản trị kinh doanh,93.0
27,Lao động phổ thông,77.0
47,Marketing-PR,69.0
48,Kiến trúc-TK nội thất,65.0
44,Tài chính-Đầu tư,58.0
19,Thực phẩm-Đồ uống,53.0
62,Nhân sự,52.0
17,Thiết kế-Mỹ thuật,51.0
18,Kho vận-Vật tư,50.0
55,Ngân hàng,47.0
52,Y tế-Dược,46.0
22,Công nghiệp,44.0
41,KD bất động sản,44.0
43,Thư ký-Trợ lý,42.0
7,Dịch vụ,39.0
60,Thiết kế đồ hoạ web,35.0
25,Hoá học-Sinh học,32.0
58,IT phần mềm,30.0
11,Vận tải,30.0
40,Kỹ thuật ứng dụng,29.0
38,Tiếp thị-Quảng cáo,28.0
53,Ngoại thương-Xuất nhập khẩu,26.0
23,Dệt may - Da giày,24.0
13,In ấn-Xuất bản,22.0
56,IT phần cứng/mạng,21.0
29,Khách sạn-Nhà hàng,21.0
59,Biên-Phiên dịch,20.0
35,Nông-Lâm-Ngư nghiệp,19.0
34,Spa-Mỹ phẩm-Trang sức,18.0
20,Ô tô - Xe máy,18.0
31,Bảo hiểm,18.0
12,Điện tử viễn thông,18.0
50,Thương mại điện tử,15.0
46,Giáo dục-Đào tạo,14.0
6,Ngành nghề khác,13.0
64,Hoạch định-Dự án,12.0
57,Báo chí-Truyền hình,11.0
4,Hàng gia dụng,10.0
61,Pháp lý-Luật,10.0
5,Dầu khí-Hóa chất,10.0
37,Làm bán thời gian,10.0
10,Hàng hải,9.0
30,Sinh viên làm thêm,9.0
28,Thời trang,8.0
42,An ninh-Bảo vệ,8.0
65,Công nghệ cao,6.0
51,Quan hệ đối ngoại,5.0
2,Chứng khoán- Vàng,4.0
33,Thủ công mỹ nghệ,3.0
66,Du lịch,3.0
36,Tổ chức sự kiện-Quà tặng,3.0
26,Hàng không,1.0
1,Game,1.0
67,Thực tập,1.0
32,Bưu chính,1.0
8,Người giúp việc,1.0
14,NV trông quán Internet,0.0
24,Promotion Girl (PG),0.0
45,Nghệ thuật - Điện ảnh,0.0
