,Industry,No. of Jobs
11,Tài chính/Đầu tư,1043
22,Điện/Điện tử,789
0,Xây dựng,724
9,Ngân hàng,653
23,Cơ khí,588
10,Kiểm toán,466
7,Internet/Online Media,413
6,Quảng cáo/Khuyến mãi/Đối ngoại,413
16,Bán lẻ/Bán sỉ,381
44,Vận chuyển/Giao nhận,373
1,Kiến trúc/Thiết kế nội thất,372
2,Bất động sản,360
41,Giáo dục/Đào tạo,353
5,Mỹ Thuật/Nghệ Thuật/Thiết Kế,323
30,Tự động hóa/Ô tô,270
43,Tư vấn,256
14,Hàng tiêu dùng,252
35,Y tế/Chăm sóc sức khỏe,230
42,Y tế/Chăm sóc sức khỏe,230
17,Thực phẩm & Đồ uống,213
28,Dệt may/Da giày,193
24,Hóa học/Hóa sinh,180
13,Bảo hiểm,178
45,Kho vận,177
4,Truyền hình/Truyền thông/Báo chí,164
32,Sản phẩm công nghiệp,162
26,Điện lạnh/Nhiệt lạnh,146
3,Viễn Thông,140
21,Nhà hàng/Khách sạn,138
12,Chứng khoán,137
29,Dược Phẩm/Công nghệ sinh học,131
33,Công nghệ cao,123
25,Môi trường/Xử lý chất thải,98
18,Thời trang,95
31,Nông nghiệp/Lâm nghiệp,75
38,Dược sĩ,64
39,Trình dược viên,62
20,Hàng không/Du lịch,59
46,Hàng hải,55
8,In ấn/ Xuất bản,47
27,Dầu khí,46
40,Phi chính phủ/Phi lợi nhuận,45
15,Hàng gia dụng,33
36,Bác sĩ,27
37,Y sĩ/Hộ lý,26
19,Hàng cao cấp,25
34,Địa chất/Khoáng sản,23
