,Industry,No. of Jobs
14, Bán hàng,6316
19, Tư vấn,4373
8, Dịch vụ khách hàng,2958
18, Tiếp thị,2104
13, Tài chính / Đầu tư,1834
11, Kế toán / Kiểm toán,1750
10, Bảo hiểm,1627
25, CNTT - Phần mềm,1558
33, Kỹ thuật ứng dụng / Cơ khí,1517
31, Dược / Sinh học,1502
6, Bán lẻ / Bán sỉ,1436
32, Điện / Điện tử,1433
16, Quảng cáo / Khuyến mãi / Đối ngoại,1427
52, Mới tốt nghiệp / Thực tập,1407
4, Thư ký / Hành chánh,1354
0, Biên phiên dịch / Thông dịch viên,1171
12, Ngân hàng / Chứng khoán,1046
42, Sản xuất / Vận hành sản xuất,1011
21, Vận chuyển / Giao thông / Kho bãi,964
7, Chăm sóc sức khỏe / Y tế,828
29, Bảo trì / Sửa chữa,784
47, Xây dựng,766
49, Nghệ thuật / Thiết kế / Giải trí,743
24, CNTT - Phần cứng / Mạng,719
20, Quản lý chất lượng (QA / QC),678
2, Nhân sự,605
39, Hóa chất / Sinh hóa / Thực phẩm,577
51, Lao động phổ thông,513
23, Xuất nhập khẩu / Ngoại thương,447
44, Bất động sản,406
48, Báo chí / Biên tập viên / Xuất bản,389
28, Nhà hàng / Dịch vụ ăn uống,370
22, Vật tư / Mua hàng,369
40, Nông nghiệp / Lâm nghiệp,367
1, Biên phiên dịch (tiếng Nhật),357
54, Quản lý điều hành,341
30, Điện lạnh / Nhiệt lạnh,323
45, Kiến trúc,315
50, Viễn Thông,298
17, Thời trang,298
46, Nội thất / Ngoại thất,294
37, Dệt may / Da giày,217
3, Pháp lý / Luật,206
27, Khách sạn,195
41, Ô tô,189
34, Môi trường / Xử lý chất thải,158
5, An Ninh / Bảo Vệ,131
43, Thuỷ Hải Sản,120
38, Đồ Gỗ,100
35, An Toàn Lao Động,99
55, Khác,71
15, Hàng gia dụng,64
26, Du lịch,48
36, Dầu khí / Khoáng sản,26
9, Phi chính phủ / Phi lợi nhuận,9
53, Người nước ngoài,7
