,Industry,No. of Jobs
11,Tài chính/Đầu tư,1081
22,Điện/Điện tử,758
23,Cơ khí,610
0,Xây dựng,589
9,Ngân hàng,569
10,Kiểm toán,518
6,Quảng cáo/Khuyến mãi/Đối ngoại,395
7,Internet/Online Media,377
41,Giáo dục/Đào tạo,361
44,Vận chuyển/Giao nhận,347
1,Kiến trúc/Thiết kế nội thất,342
2,Bất động sản,340
16,Bán lẻ/Bán sỉ,329
5,Mỹ Thuật/Nghệ Thuật/Thiết Kế,288
30,Tự động hóa/Ô tô,260
43,Tư vấn,252
14,Hàng tiêu dùng,243
17,Thực phẩm & Đồ uống,223
35,Y tế/Chăm sóc sức khỏe,189
42,Y tế/Chăm sóc sức khỏe,189
32,Sản phẩm công nghiệp,188
13,Bảo hiểm,186
3,Viễn Thông,168
24,Hóa học/Hóa sinh,158
29,Dược Phẩm/Công nghệ sinh học,138
45,Kho vận,137
4,Truyền hình/Truyền thông/Báo chí,130
12,Chứng khoán,128
33,Công nghệ cao,127
21,Nhà hàng/Khách sạn,122
26,Điện lạnh/Nhiệt lạnh,115
28,Dệt may/Da giày,113
25,Môi trường/Xử lý chất thải,89
31,Nông nghiệp/Lâm nghiệp,78
18,Thời trang,65
39,Trình dược viên,59
38,Dược sĩ,58
46,Hàng hải,54
40,Phi chính phủ/Phi lợi nhuận,51
20,Hàng không/Du lịch,40
27,Dầu khí,39
15,Hàng gia dụng,39
8,In ấn/ Xuất bản,34
19,Hàng cao cấp,26
34,Địa chất/Khoáng sản,21
36,Bác sĩ,15
37,Y sĩ/Hộ lý,15
