,Industry,No. of Jobs
11,Tài chính/Đầu tư,936
22,Điện/Điện tử,740
0,Xây dựng,651
9,Ngân hàng,580
23,Cơ khí,539
10,Kiểm toán,419
6,Quảng cáo/Khuyến mãi/Đối ngoại,388
7,Internet/Online Media,385
16,Bán lẻ/Bán sỉ,363
44,Vận chuyển/Giao nhận,353
2,Bất động sản,335
1,Kiến trúc/Thiết kế nội thất,313
41,Giáo dục/Đào tạo,306
5,Mỹ Thuật/Nghệ Thuật/Thiết Kế,282
30,Tự động hóa/Ô tô,263
43,Tư vấn,233
14,Hàng tiêu dùng,220
35,Y tế/Chăm sóc sức khỏe,203
42,Y tế/Chăm sóc sức khỏe,203
17,Thực phẩm & Đồ uống,200
24,Hóa học/Hóa sinh,171
28,Dệt may/Da giày,170
13,Bảo hiểm,162
4,Truyền hình/Truyền thông/Báo chí,160
45,Kho vận,160
32,Sản phẩm công nghiệp,149
26,Điện lạnh/Nhiệt lạnh,138
3,Viễn Thông,132
12,Chứng khoán,131
21,Nhà hàng/Khách sạn,124
29,Dược Phẩm/Công nghệ sinh học,121
33,Công nghệ cao,112
25,Môi trường/Xử lý chất thải,87
18,Thời trang,84
31,Nông nghiệp/Lâm nghiệp,78
39,Trình dược viên,64
38,Dược sĩ,63
46,Hàng hải,50
27,Dầu khí,49
20,Hàng không/Du lịch,46
40,Phi chính phủ/Phi lợi nhuận,44
8,In ấn/ Xuất bản,42
15,Hàng gia dụng,27
19,Hàng cao cấp,25
34,Địa chất/Khoáng sản,25
36,Bác sĩ,20
37,Y sĩ/Hộ lý,20
