,Industry,No. of Jobs
14, Bán hàng,4478
19, Tư vấn,2864
8, Dịch vụ khách hàng,2474
11, Kế toán / Kiểm toán,2019
33, Kỹ thuật ứng dụng / Cơ khí,1738
18, Tiếp thị,1702
4, Thư ký / Hành chánh,1682
25, CNTT - Phần mềm,1524
13, Tài chính / Đầu tư,1414
32, Điện / Điện tử,1393
52, Mới tốt nghiệp / Thực tập,1277
16, Quảng cáo / Khuyến mãi / Đối ngoại,1251
42, Sản xuất / Vận hành sản xuất,1186
6, Bán lẻ / Bán sỉ,1186
0, Biên phiên dịch / Thông dịch viên,1072
21, Vận chuyển / Giao thông / Kho bãi,942
10, Bảo hiểm,814
47, Xây dựng,809
29, Bảo trì / Sửa chữa,769
20, Quản lý chất lượng (QA / QC),747
2, Nhân sự,720
49, Nghệ thuật / Thiết kế / Giải trí,719
24, CNTT - Phần cứng / Mạng,675
51, Lao động phổ thông,616
1, Biên phiên dịch (tiếng Nhật),597
12, Ngân hàng / Chứng khoán,544
23, Xuất nhập khẩu / Ngoại thương,493
39, Hóa chất / Sinh hóa / Thực phẩm,471
28, Nhà hàng / Dịch vụ ăn uống,458
31, Dược / Sinh học,439
22, Vật tư / Mua hàng,426
37, Dệt may / Da giày,398
27, Khách sạn,351
44, Bất động sản,324
7, Chăm sóc sức khỏe / Y tế,308
45, Kiến trúc,302
48, Báo chí / Biên tập viên / Xuất bản,297
46, Nội thất / Ngoại thất,292
30, Điện lạnh / Nhiệt lạnh,279
54, Quản lý điều hành,229
50, Viễn Thông,202
3, Pháp lý / Luật,188
17, Thời trang,162
41, Ô tô,138
5, An Ninh / Bảo Vệ,136
34, Môi trường / Xử lý chất thải,135
35, An Toàn Lao Động,117
38, Đồ Gỗ,91
40, Nông nghiệp / Lâm nghiệp,85
43, Thuỷ Hải Sản,63
26, Du lịch,49
15, Hàng gia dụng,46
55, Khác,45
36, Dầu khí / Khoáng sản,18
9, Phi chính phủ / Phi lợi nhuận,3
53, Người nước ngoài,1
