,Industry,No. of Jobs
11,Tài chính/Đầu tư,835
22,Điện/Điện tử,630
9,Ngân hàng,540
23,Cơ khí,510
0,Xây dựng,450
10,Kiểm toán,357
7,Internet/Online Media,260
2,Bất động sản,258
1,Kiến trúc/Thiết kế nội thất,254
44,Vận chuyển/Giao nhận,252
6,Quảng cáo/Khuyến mãi/Đối ngoại,247
16,Bán lẻ/Bán sỉ,220
30,Tự động hóa/Ô tô,215
13,Bảo hiểm,203
5,Mỹ Thuật/Nghệ Thuật/Thiết Kế,175
14,Hàng tiêu dùng,175
43,Tư vấn,166
41,Giáo dục/Đào tạo,162
17,Thực phẩm & Đồ uống,161
42,Y tế/Chăm sóc sức khỏe,143
35,Y tế/Chăm sóc sức khỏe,143
32,Sản phẩm công nghiệp,139
29,Dược Phẩm/Công nghệ sinh học,119
24,Hóa học/Hóa sinh,113
3,Viễn Thông,112
45,Kho vận,109
33,Công nghệ cao,98
28,Dệt may/Da giày,96
26,Điện lạnh/Nhiệt lạnh,85
12,Chứng khoán,84
4,Truyền hình/Truyền thông/Báo chí,82
21,Nhà hàng/Khách sạn,73
25,Môi trường/Xử lý chất thải,68
31,Nông nghiệp/Lâm nghiệp,60
27,Dầu khí,43
38,Dược sĩ,43
39,Trình dược viên,39
15,Hàng gia dụng,39
20,Hàng không/Du lịch,39
46,Hàng hải,39
18,Thời trang,29
8,In ấn/ Xuất bản,27
40,Phi chính phủ/Phi lợi nhuận,24
36,Bác sĩ,18
34,Địa chất/Khoáng sản,13
37,Y sĩ/Hộ lý,11
19,Hàng cao cấp,11
