,Industry,No. of Jobs
14, Bán hàng,3089
19, Tư vấn,2361
8, Dịch vụ khách hàng,1679
11, Kế toán / Kiểm toán,1443
33, Kỹ thuật ứng dụng / Cơ khí,1267
18, Tiếp thị,1245
25, CNTT - Phần mềm,1245
13, Tài chính / Đầu tư,1244
4, Thư ký / Hành chánh,1078
32, Điện / Điện tử,1016
52, Mới tốt nghiệp / Thực tập,965
16, Quảng cáo / Khuyến mãi / Đối ngoại,927
0, Biên phiên dịch / Thông dịch viên,846
42, Sản xuất / Vận hành sản xuất,841
6, Bán lẻ / Bán sỉ,821
10, Bảo hiểm,814
21, Vận chuyển / Giao thông / Kho bãi,761
47, Xây dựng,581
29, Bảo trì / Sửa chữa,578
49, Nghệ thuật / Thiết kế / Giải trí,549
24, CNTT - Phần cứng / Mạng,542
20, Quản lý chất lượng (QA / QC),534
1, Biên phiên dịch (tiếng Nhật),512
12, Ngân hàng / Chứng khoán,509
2, Nhân sự,481
51, Lao động phổ thông,448
23, Xuất nhập khẩu / Ngoại thương,394
22, Vật tư / Mua hàng,326
31, Dược / Sinh học,312
39, Hóa chất / Sinh hóa / Thực phẩm,296
37, Dệt may / Da giày,293
44, Bất động sản,271
7, Chăm sóc sức khỏe / Y tế,251
48, Báo chí / Biên tập viên / Xuất bản,231
30, Điện lạnh / Nhiệt lạnh,207
28, Nhà hàng / Dịch vụ ăn uống,203
46, Nội thất / Ngoại thất,199
45, Kiến trúc,199
50, Viễn Thông,176
54, Quản lý điều hành,173
3, Pháp lý / Luật,158
5, An Ninh / Bảo Vệ,105
41, Ô tô,104
34, Môi trường / Xử lý chất thải,98
27, Khách sạn,93
17, Thời trang,84
35, An Toàn Lao Động,80
38, Đồ Gỗ,68
40, Nông nghiệp / Lâm nghiệp,67
55, Khác,45
43, Thuỷ Hải Sản,40
26, Du lịch,36
15, Hàng gia dụng,33
36, Dầu khí / Khoáng sản,23
9, Phi chính phủ / Phi lợi nhuận,0
53, Người nước ngoài,0
