,Industry,No. of Jobs
17,Nhân viên kinh doanh,517.0
44,Hành chính-Văn phòng,407.0
25,Bán hàng ,351.0
38,Tư vấn,325.0
42,Kỹ thuật,272.0
53,Kế toán-Kiểm toán,212.0
20,Điện-Điện tử-Điện lạnh,186.0
28,Xây dựng,177.0
55,Quản trị kinh doanh,149.0
9,Cơ khí-Chế tạo,139.0
54,Marketing-PR,115.0
26,Lao động phổ thông,110.0
23,Thực phẩm-Đồ uống,88.0
57,Kiến trúc-TK nội thất,88.0
56,Nhân sự,84.0
16,Dịch vụ,79.0
34,KD bất động sản,66.0
33,Thiết kế-Mỹ thuật,66.0
43,Y tế-Dược,65.0
48,Tài chính-Đầu tư,65.0
62,Thư ký-Trợ lý,61.0
65,Ngoại thương-Xuất nhập khẩu,58.0
31,Tiếp thị-Quảng cáo,57.0
0,Kho vận-Vật tư,53.0
1,Khách sạn-Nhà hàng,51.0
4,Hoá học-Sinh học,48.0
64,IT phần mềm,47.0
5,Kỹ thuật ứng dụng,45.0
59,Ngân hàng,43.0
12,Công nghiệp,40.0
61,Thiết kế đồ hoạ web,39.0
47,IT phần cứng/mạng,35.0
24,Vận tải,35.0
10,In ấn-Xuất bản,33.0
41,Dệt may - Da giày,32.0
8,Spa-Mỹ phẩm-Trang sức,32.0
49,Giáo dục-Đào tạo,30.0
45,Báo chí-Truyền hình,28.0
11,Ngành nghề khác,28.0
19,Ô tô - Xe máy,24.0
3,Nông-Lâm-Ngư nghiệp,24.0
46,Thương mại điện tử,23.0
51,Biên-Phiên dịch,22.0
14,Điện tử viễn thông,21.0
66,Pháp lý-Luật,19.0
30,Bảo hiểm,17.0
36,Làm bán thời gian,16.0
21,An ninh-Bảo vệ,13.0
39,Sinh viên làm thêm,11.0
15,Dầu khí-Hóa chất,8.0
18,Hàng gia dụng,8.0
50,Quan hệ đối ngoại,8.0
27,Thời trang,8.0
58,Du lịch,8.0
35,Chứng khoán- Vàng,7.0
40,Hàng hải,7.0
29,Bưu chính,6.0
7,Tổ chức sự kiện-Quà tặng,6.0
32,Người giúp việc,4.0
2,Thủ công mỹ nghệ,4.0
60,Hoạch định-Dự án,4.0
52,Nghệ thuật - Điện ảnh,4.0
63,Công nghệ cao,3.0
13,Promotion Girl (PG),2.0
67,Thực tập,2.0
37,Hàng không,2.0
6,Game,1.0
22,NV trông quán Internet,0.0
