,Industry,No. of Jobs
0,Bán hàng / Kinh doanh,3452
1,Ngân hàng,2033
2,Tài chính / Đầu tư,1691
3,Kế toán / Kiểm toán,1683
4,Tiếp thị / Marketing,1563
5,CNTT - Phần mềm,1348
6,Dịch vụ khách hàng,1330
7,Bán lẻ / Bán sỉ,1092
8,Điện / Điện tử / Điện lạnh,1058
9,Cơ khí / Ô tô / Tự động hóa,1038
10,Hành chính / Thư ký,982
11,Sản xuất / Vận hành sản xuất,919
12,CNTT - Phần cứng / Mạng,816
13,Xây dựng,731
14,Quản lý điều hành,717
15,Tư vấn,711
16,Nhân sự,654
17,Bất động sản,649
18,Quảng cáo / Đối ngoại / Truyền Thông,637
19,Bảo trì / Sửa chữa,578
