,Industry,No. of Jobs
57,Hành chính-Văn phòng,782.0
37,Nhân viên kinh doanh,615.0
24,Bán hàng ,455.0
21,Tư vấn,437.0
48,Kế toán-Kiểm toán,436.0
40,Kỹ thuật,376.0
35,Xây dựng,254.0
58,Quản trị kinh doanh,238.0
27,Cơ khí-Chế tạo,224.0
3,Điện-Điện tử-Điện lạnh,204.0
25,Lao động phổ thông,175.0
60,Marketing-PR,150.0
53,Kiến trúc-TK nội thất,149.0
32,Kho vận-Vật tư,126.0
54,Nhân sự,121.0
65,Ngoại thương-Xuất nhập khẩu,113.0
66,Thư ký-Trợ lý,113.0
5,Thiết kế-Mỹ thuật,108.0
55,Tài chính-Đầu tư,101.0
31,Thực phẩm-Đồ uống,100.0
6,Dịch vụ,97.0
56,Y tế-Dược,90.0
44,Ngân hàng,90.0
26,Khách sạn-Nhà hàng,88.0
63,IT phần mềm,85.0
17,Công nghiệp,82.0
23,Hoá học-Sinh học,75.0
0,Vận tải,73.0
59,Thiết kế đồ hoạ web,71.0
41,Dệt may - Da giày,71.0
51,IT phần cứng/mạng,70.0
10,Ô tô - Xe máy,67.0
62,Biên-Phiên dịch,63.0
28,Tiếp thị-Quảng cáo,62.0
2,Kỹ thuật ứng dụng,58.0
36,Ngành nghề khác,56.0
20,KD bất động sản,55.0
34,Spa-Mỹ phẩm-Trang sức,45.0
14,In ấn-Xuất bản,43.0
22,Điện tử viễn thông,38.0
19,Thời trang,32.0
46,Pháp lý-Luật,31.0
18,Dầu khí-Hóa chất,30.0
42,An ninh-Bảo vệ,28.0
45,Quan hệ đối ngoại,28.0
61,Hoạch định-Dự án,26.0
1,Nông-Lâm-Ngư nghiệp,24.0
64,Giáo dục-Đào tạo,22.0
49,Báo chí-Truyền hình,21.0
43,Thương mại điện tử,20.0
13,Sinh viên làm thêm,19.0
33,Làm bán thời gian,18.0
50,Du lịch,16.0
7,Bảo hiểm,15.0
52,Công nghệ cao,12.0
15,Hàng hải,12.0
12,Thủ công mỹ nghệ,11.0
9,Tổ chức sự kiện-Quà tặng,8.0
8,Hàng gia dụng,6.0
11,Người giúp việc,4.0
38,Hàng không,4.0
39,Chứng khoán- Vàng,4.0
47,Nghệ thuật - Điện ảnh,4.0
16,Game,2.0
29,Bưu chính,2.0
67,Thực tập,2.0
4,Promotion Girl (PG),1.0
30,NV trông quán Internet,0.0
