,Industry,No. of Jobs
14, Bán hàng,5731
19, Tư vấn,4037
8, Dịch vụ khách hàng,3047
18, Tiếp thị,2182
11, Kế toán / Kiểm toán,1899
13, Tài chính / Đầu tư,1807
33, Kỹ thuật ứng dụng / Cơ khí,1660
25, CNTT - Phần mềm,1646
4, Thư ký / Hành chánh,1588
16, Quảng cáo / Khuyến mãi / Đối ngoại,1521
32, Điện / Điện tử,1440
6, Bán lẻ / Bán sỉ,1393
10, Bảo hiểm,1334
52, Mới tốt nghiệp / Thực tập,1332
0, Biên phiên dịch / Thông dịch viên,1206
42, Sản xuất / Vận hành sản xuất,1067
21, Vận chuyển / Giao thông / Kho bãi,1054
31, Dược / Sinh học,985
49, Nghệ thuật / Thiết kế / Giải trí,854
12, Ngân hàng / Chứng khoán,852
47, Xây dựng,810
24, CNTT - Phần cứng / Mạng,791
29, Bảo trì / Sửa chữa,780
20, Quản lý chất lượng (QA / QC),690
2, Nhân sự,675
51, Lao động phổ thông,574
7, Chăm sóc sức khỏe / Y tế,567
39, Hóa chất / Sinh hóa / Thực phẩm,548
23, Xuất nhập khẩu / Ngoại thương,480
28, Nhà hàng / Dịch vụ ăn uống,472
1, Biên phiên dịch (tiếng Nhật),421
48, Báo chí / Biên tập viên / Xuất bản,400
22, Vật tư / Mua hàng,390
44, Bất động sản,388
46, Nội thất / Ngoại thất,342
54, Quản lý điều hành,336
30, Điện lạnh / Nhiệt lạnh,329
45, Kiến trúc,325
27, Khách sạn,306
40, Nông nghiệp / Lâm nghiệp,281
50, Viễn Thông,274
17, Thời trang,272
37, Dệt may / Da giày,265
3, Pháp lý / Luật,227
41, Ô tô,163
43, Thuỷ Hải Sản,158
34, Môi trường / Xử lý chất thải,142
5, An Ninh / Bảo Vệ,133
35, An Toàn Lao Động,110
38, Đồ Gỗ,87
55, Khác,87
15, Hàng gia dụng,73
26, Du lịch,63
36, Dầu khí / Khoáng sản,30
53, Người nước ngoài,5
9, Phi chính phủ / Phi lợi nhuận,4
