,Industry,No. of Jobs
7,Nhân viên kinh doanh,910.0
46,Hành chính-Văn phòng,683.0
0,Bán hàng ,633.0
37,Tư vấn,514.0
52,Kế toán-Kiểm toán,403.0
1,Kỹ thuật,388.0
20,Xây dựng,259.0
4,Điện-Điện tử-Điện lạnh,255.0
66,Marketing-PR,243.0
11,Cơ khí-Chế tạo,219.0
40,Lao động phổ thông,215.0
58,Quản trị kinh doanh,211.0
53,Kiến trúc-TK nội thất,160.0
10,Thiết kế-Mỹ thuật,127.0
61,IT phần mềm,125.0
62,Y tế-Dược,121.0
36,KD bất động sản,116.0
39,Kho vận-Vật tư,113.0
45,Tài chính-Đầu tư,108.0
28,Thực phẩm-Đồ uống,105.0
49,Thiết kế đồ hoạ web,94.0
48,IT phần cứng/mạng,93.0
44,Thư ký-Trợ lý,93.0
41,Dịch vụ,93.0
63,Ngoại thương-Xuất nhập khẩu,92.0
31,Tiếp thị-Quảng cáo,85.0
56,Nhân sự,84.0
59,Ngân hàng,78.0
14,Công nghiệp,76.0
29,Vận tải,75.0
16,Hoá học-Sinh học,67.0
26,Ngành nghề khác,66.0
60,Giáo dục-Đào tạo,60.0
34,Kỹ thuật ứng dụng,57.0
5,Điện tử viễn thông,57.0
33,Nông-Lâm-Ngư nghiệp,55.0
42,Dệt may - Da giày,55.0
27,In ấn-Xuất bản,54.0
21,Khách sạn-Nhà hàng,49.0
47,Biên-Phiên dịch,45.0
30,Ô tô - Xe máy,44.0
38,Spa-Mỹ phẩm-Trang sức,42.0
57,Thương mại điện tử,42.0
23,Thời trang,41.0
17,Làm bán thời gian,41.0
43,Hoạch định-Dự án,32.0
54,Báo chí-Truyền hình,30.0
12,An ninh-Bảo vệ,27.0
35,Bảo hiểm,25.0
18,Sinh viên làm thêm,23.0
32,Chứng khoán- Vàng,22.0
55,Pháp lý-Luật,21.0
65,Du lịch,16.0
24,Dầu khí-Hóa chất,13.0
8,Thủ công mỹ nghệ,12.0
19,Bưu chính,12.0
15,Người giúp việc,11.0
2,Tổ chức sự kiện-Quà tặng,10.0
64,Quan hệ đối ngoại,10.0
50,Công nghệ cao,9.0
6,Hàng hải,7.0
51,Nghệ thuật - Điện ảnh,7.0
3,Promotion Girl (PG),6.0
22,Game,3.0
25,Hàng gia dụng,3.0
13,Hàng không,2.0
67,Thực tập,2.0
9,NV trông quán Internet,1.0
