,Industry,No. of Jobs
0,Bán hàng / Kinh doanh,4048
1,Kế toán / Kiểm toán,2146
2,Tiếp thị / Marketing,2080
3,Ngân hàng,2020
4,Tài chính / Đầu tư,1908
5,Dịch vụ khách hàng,1800
6,Hành chính / Thư ký,1612
7,Bán lẻ / Bán sỉ,1477
8,CNTT - Phần mềm,1347
9,Nhân sự,1193
10,Điện / Điện tử / Điện lạnh,1143
11,Sản xuất / Vận hành sản xuất,1130
12,Cơ khí / Ô tô / Tự động hóa,1084
13,Quảng cáo / Đối ngoại / Truyền Thông,916
14,Xây dựng,899
15,Tư vấn,877
16,Quản lý điều hành,860
17,CNTT - Phần cứng / Mạng,817
18,Vận chuyển / Giao nhận /  Kho vận,752
19,Bất động sản,738
