,Industry,No. of Jobs
14, Bán hàng,4802
19, Tư vấn,3192
8, Dịch vụ khách hàng,2931
11, Kế toán / Kiểm toán,2201
4, Thư ký / Hành chánh,1921
33, Kỹ thuật ứng dụng / Cơ khí,1846
18, Tiếp thị,1818
25, CNTT - Phần mềm,1562
13, Tài chính / Đầu tư,1552
32, Điện / Điện tử,1450
52, Mới tốt nghiệp / Thực tập,1372
16, Quảng cáo / Khuyến mãi / Đối ngoại,1343
6, Bán lẻ / Bán sỉ,1256
42, Sản xuất / Vận hành sản xuất,1238
0, Biên phiên dịch / Thông dịch viên,1179
21, Vận chuyển / Giao thông / Kho bãi,1051
10, Bảo hiểm,856
2, Nhân sự,849
47, Xây dựng,848
29, Bảo trì / Sửa chữa,833
20, Quản lý chất lượng (QA / QC),759
49, Nghệ thuật / Thiết kế / Giải trí,757
24, CNTT - Phần cứng / Mạng,695
51, Lao động phổ thông,693
1, Biên phiên dịch (tiếng Nhật),653
28, Nhà hàng / Dịch vụ ăn uống,598
12, Ngân hàng / Chứng khoán,593
23, Xuất nhập khẩu / Ngoại thương,522
39, Hóa chất / Sinh hóa / Thực phẩm,518
27, Khách sạn,497
22, Vật tư / Mua hàng,474
37, Dệt may / Da giày,428
31, Dược / Sinh học,414
7, Chăm sóc sức khỏe / Y tế,397
44, Bất động sản,356
48, Báo chí / Biên tập viên / Xuất bản,312
45, Kiến trúc,311
46, Nội thất / Ngoại thất,294
30, Điện lạnh / Nhiệt lạnh,284
54, Quản lý điều hành,234
3, Pháp lý / Luật,197
50, Viễn Thông,196
17, Thời trang,186
41, Ô tô,175
5, An Ninh / Bảo Vệ,143
34, Môi trường / Xử lý chất thải,137
35, An Toàn Lao Động,120
26, Du lịch,101
38, Đồ Gỗ,84
40, Nông nghiệp / Lâm nghiệp,79
43, Thuỷ Hải Sản,56
15, Hàng gia dụng,54
55, Khác,47
36, Dầu khí / Khoáng sản,19
9, Phi chính phủ / Phi lợi nhuận,3
53, Người nước ngoài,2
