,Industry,No. of Jobs
13,Nhân viên kinh doanh,601.0
43,Hành chính-Văn phòng,464.0
1,Bán hàng ,426.0
9,Tư vấn,370.0
32,Kỹ thuật,303.0
46,Kế toán-Kiểm toán,260.0
24,Xây dựng,208.0
5,Điện-Điện tử-Điện lạnh,196.0
29,Cơ khí-Chế tạo,169.0
58,Quản trị kinh doanh,161.0
45,Marketing-PR,135.0
15,Lao động phổ thông,127.0
59,Kiến trúc-TK nội thất,109.0
57,Nhân sự,101.0
26,Dịch vụ,97.0
30,Thiết kế-Mỹ thuật,87.0
17,Thực phẩm-Đồ uống,85.0
35,KD bất động sản,75.0
54,Ngoại thương-Xuất nhập khẩu,74.0
48,Y tế-Dược,74.0
56,Thư ký-Trợ lý,70.0
53,Tài chính-Đầu tư,67.0
6,Tiếp thị-Quảng cáo,61.0
2,Khách sạn-Nhà hàng,61.0
38,Kho vận-Vật tư,56.0
25,Hoá học-Sinh học,53.0
55,IT phần mềm,51.0
3,Kỹ thuật ứng dụng,49.0
47,Thiết kế đồ hoạ web,45.0
63,Ngân hàng,45.0
22,Công nghiệp,41.0
16,Dệt may - Da giày,40.0
42,Spa-Mỹ phẩm-Trang sức,39.0
65,Giáo dục-Đào tạo,38.0
39,Ngành nghề khác,38.0
50,Biên-Phiên dịch,37.0
27,Ô tô - Xe máy,34.0
19,Vận tải,34.0
49,IT phần cứng/mạng,33.0
18,Nông-Lâm-Ngư nghiệp,30.0
33,In ấn-Xuất bản,30.0
51,Thương mại điện tử,29.0
62,Báo chí-Truyền hình,29.0
11,Làm bán thời gian,27.0
37,Điện tử viễn thông,25.0
7,Sinh viên làm thêm,24.0
66,Pháp lý-Luật,18.0
12,An ninh-Bảo vệ,17.0
21,Bảo hiểm,15.0
64,Du lịch,14.0
28,Thời trang,13.0
14,Dầu khí-Hóa chất,12.0
36,Chứng khoán- Vàng,10.0
8,Hàng hải,10.0
60,Hoạch định-Dự án,10.0
61,Quan hệ đối ngoại,10.0
41,Thủ công mỹ nghệ,8.0
31,Tổ chức sự kiện-Quà tặng,7.0
52,Nghệ thuật - Điện ảnh,6.0
4,Bưu chính,6.0
0,Hàng gia dụng,6.0
20,Người giúp việc,5.0
34,Hàng không,4.0
44,Công nghệ cao,3.0
67,Thực tập,3.0
23,Promotion Girl (PG),2.0
10,Game,1.0
40,NV trông quán Internet,0.0
