,Industry,No. of Jobs
11,Tài chính/Đầu tư,1137
22,Điện/Điện tử,905
23,Cơ khí,757
0,Xây dựng,669
9,Ngân hàng,630
10,Kiểm toán,598
44,Vận chuyển/Giao nhận,409
6,Quảng cáo/Khuyến mãi/Đối ngoại,404
7,Internet/Online Media,394
1,Kiến trúc/Thiết kế nội thất,372
30,Tự động hóa/Ô tô,314
2,Bất động sản,302
16,Bán lẻ/Bán sỉ,297
5,Mỹ Thuật/Nghệ Thuật/Thiết Kế,287
14,Hàng tiêu dùng,260
43,Tư vấn,256
41,Giáo dục/Đào tạo,251
32,Sản phẩm công nghiệp,233
28,Dệt may/Da giày,221
42,Y tế/Chăm sóc sức khỏe,221
35,Y tế/Chăm sóc sức khỏe,221
17,Thực phẩm & Đồ uống,216
24,Hóa học/Hóa sinh,190
29,Dược Phẩm/Công nghệ sinh học,178
13,Bảo hiểm,175
45,Kho vận,159
3,Viễn Thông,157
21,Nhà hàng/Khách sạn,127
4,Truyền hình/Truyền thông/Báo chí,122
33,Công nghệ cao,118
12,Chứng khoán,115
26,Điện lạnh/Nhiệt lạnh,110
25,Môi trường/Xử lý chất thải,94
39,Trình dược viên,85
31,Nông nghiệp/Lâm nghiệp,78
20,Hàng không/Du lịch,78
38,Dược sĩ,74
18,Thời trang,69
46,Hàng hải,56
15,Hàng gia dụng,54
27,Dầu khí,45
40,Phi chính phủ/Phi lợi nhuận,45
8,In ấn/ Xuất bản,41
37,Y sĩ/Hộ lý,22
36,Bác sĩ,20
34,Địa chất/Khoáng sản,19
19,Hàng cao cấp,15
