,Industry,No. of Jobs
11,Tài chính/Đầu tư,1010
0,Xây dựng,745
22,Điện/Điện tử,743
23,Cơ khí,585
9,Ngân hàng,562
10,Kiểm toán,508
6,Quảng cáo/Khuyến mãi/Đối ngoại,493
7,Internet/Online Media,444
1,Kiến trúc/Thiết kế nội thất,404
2,Bất động sản,378
41,Giáo dục/Đào tạo,364
44,Vận chuyển/Giao nhận,351
16,Bán lẻ/Bán sỉ,337
5,Mỹ Thuật/Nghệ Thuật/Thiết Kế,296
43,Tư vấn,267
30,Tự động hóa/Ô tô,254
42,Y tế/Chăm sóc sức khỏe,232
35,Y tế/Chăm sóc sức khỏe,232
17,Thực phẩm & Đồ uống,215
13,Bảo hiểm,202
14,Hàng tiêu dùng,190
3,Viễn Thông,176
24,Hóa học/Hóa sinh,174
32,Sản phẩm công nghiệp,171
4,Truyền hình/Truyền thông/Báo chí,170
21,Nhà hàng/Khách sạn,150
28,Dệt may/Da giày,144
29,Dược Phẩm/Công nghệ sinh học,132
45,Kho vận,132
12,Chứng khoán,131
33,Công nghệ cao,115
26,Điện lạnh/Nhiệt lạnh,112
25,Môi trường/Xử lý chất thải,103
31,Nông nghiệp/Lâm nghiệp,96
18,Thời trang,85
46,Hàng hải,70
20,Hàng không/Du lịch,66
39,Trình dược viên,56
40,Phi chính phủ/Phi lợi nhuận,51
38,Dược sĩ,50
27,Dầu khí,45
8,In ấn/ Xuất bản,45
15,Hàng gia dụng,38
19,Hàng cao cấp,32
34,Địa chất/Khoáng sản,22
36,Bác sĩ,22
37,Y sĩ/Hộ lý,22
