,Industry,No. of Jobs
45,Hành chính-Văn phòng,334.0
24,Nhân viên kinh doanh,242.0
50,Kế toán-Kiểm toán,211.0
20,Kỹ thuật,200.0
10,Bán hàng ,178.0
1,Tư vấn,152.0
14,Xây dựng,146.0
35,Điện-Điện tử-Điện lạnh,122.0
39,Cơ khí-Chế tạo,121.0
43,Quản trị kinh doanh,103.0
32,Lao động phổ thông,78.0
21,Thực phẩm-Đồ uống,68.0
62,Tài chính-Đầu tư,65.0
30,Kho vận-Vật tư,59.0
55,Kiến trúc-TK nội thất,55.0
56,Thư ký-Trợ lý,55.0
59,Y tế-Dược,54.0
63,Marketing-PR,54.0
44,Nhân sự,53.0
51,Ngân hàng,52.0
0,Công nghiệp,45.0
27,Dịch vụ,42.0
34,Hoá học-Sinh học,42.0
52,Ngoại thương-Xuất nhập khẩu,41.0
31,Vận tải,40.0
64,IT phần mềm,40.0
28,Dệt may - Da giày,39.0
53,Biên-Phiên dịch,37.0
16,Thiết kế-Mỹ thuật,36.0
54,IT phần cứng/mạng,33.0
17,Khách sạn-Nhà hàng,26.0
9,Kỹ thuật ứng dụng,24.0
26,Ngành nghề khác,23.0
4,Tiếp thị-Quảng cáo,23.0
25,KD bất động sản,22.0
36,Ô tô - Xe máy,22.0
5,Điện tử viễn thông,21.0
19,Nông-Lâm-Ngư nghiệp,15.0
6,Bảo hiểm,15.0
46,Hoạch định-Dự án,14.0
42,Thời trang,13.0
37,An ninh-Bảo vệ,13.0
48,Pháp lý-Luật,13.0
61,Thương mại điện tử,13.0
38,Spa-Mỹ phẩm-Trang sức,12.0
66,Thiết kế đồ hoạ web,12.0
65,Báo chí-Truyền hình,9.0
40,In ấn-Xuất bản,9.0
18,Làm bán thời gian,9.0
47,Quan hệ đối ngoại,8.0
49,Công nghệ cao,7.0
58,Giáo dục-Đào tạo,6.0
2,Sinh viên làm thêm,6.0
67,Thực tập,5.0
8,Dầu khí-Hóa chất,5.0
15,Thủ công mỹ nghệ,5.0
22,Hàng hải,4.0
57,Du lịch,4.0
11,Chứng khoán- Vàng,4.0
7,Bưu chính,2.0
12,Người giúp việc,2.0
60,Nghệ thuật - Điện ảnh,2.0
41,Hàng không,2.0
3,Hàng gia dụng,2.0
29,Tổ chức sự kiện-Quà tặng,2.0
13,Promotion Girl (PG),0.0
33,NV trông quán Internet,0.0
23,Game,0.0
