,Industry,No. of Jobs
0,Bán hàng / Kinh doanh,3761
1,Ngân hàng,1975
2,Kế toán / Kiểm toán,1945
3,Tài chính / Đầu tư,1793
4,Tiếp thị / Marketing,1752
5,Dịch vụ khách hàng,1479
6,CNTT - Phần mềm,1331
7,Bán lẻ / Bán sỉ,1283
8,Hành chính / Thư ký,1191
9,Điện / Điện tử / Điện lạnh,1111
10,Cơ khí / Ô tô / Tự động hóa,1089
11,Sản xuất / Vận hành sản xuất,1032
12,Xây dựng,839
13,CNTT - Phần cứng / Mạng,808
14,Nhân sự,806
15,Tư vấn,780
16,Quản lý điều hành,780
17,Quảng cáo / Đối ngoại / Truyền Thông,717
18,Bất động sản,698
19,Vận chuyển / Giao nhận /  Kho vận,640
