,Industry,No. of Jobs
14, Bán hàng,4544
8, Dịch vụ khách hàng,2669
19, Tư vấn,2656
11, Kế toán / Kiểm toán,2036
4, Thư ký / Hành chánh,1924
33, Kỹ thuật ứng dụng / Cơ khí,1720
18, Tiếp thị,1575
13, Tài chính / Đầu tư,1350
32, Điện / Điện tử,1343
25, CNTT - Phần mềm,1292
52, Mới tốt nghiệp / Thực tập,1266
6, Bán lẻ / Bán sỉ,1209
16, Quảng cáo / Khuyến mãi / Đối ngoại,1177
42, Sản xuất / Vận hành sản xuất,1137
21, Vận chuyển / Giao thông / Kho bãi,1085
0, Biên phiên dịch / Thông dịch viên,1061
2, Nhân sự,897
47, Xây dựng,769
29, Bảo trì / Sửa chữa,764
51, Lao động phổ thông,753
49, Nghệ thuật / Thiết kế / Giải trí,723
20, Quản lý chất lượng (QA / QC),670
24, CNTT - Phần cứng / Mạng,628
1, Biên phiên dịch (tiếng Nhật),621
10, Bảo hiểm,601
28, Nhà hàng / Dịch vụ ăn uống,595
27, Khách sạn,541
39, Hóa chất / Sinh hóa / Thực phẩm,505
12, Ngân hàng / Chứng khoán,501
23, Xuất nhập khẩu / Ngoại thương,479
22, Vật tư / Mua hàng,438
31, Dược / Sinh học,424
37, Dệt may / Da giày,386
7, Chăm sóc sức khỏe / Y tế,373
44, Bất động sản,323
48, Báo chí / Biên tập viên / Xuất bản,300
30, Điện lạnh / Nhiệt lạnh,295
45, Kiến trúc,292
46, Nội thất / Ngoại thất,276
50, Viễn Thông,247
17, Thời trang,225
54, Quản lý điều hành,204
3, Pháp lý / Luật,198
41, Ô tô,164
34, Môi trường / Xử lý chất thải,129
5, An Ninh / Bảo Vệ,128
35, An Toàn Lao Động,117
26, Du lịch,113
38, Đồ Gỗ,90
15, Hàng gia dụng,69
40, Nông nghiệp / Lâm nghiệp,68
43, Thuỷ Hải Sản,57
55, Khác,56
36, Dầu khí / Khoáng sản,24
9, Phi chính phủ / Phi lợi nhuận,2
53, Người nước ngoài,2
