,Industry,No. of Jobs
54,Hành chính-Văn phòng,419.0
25,Nhân viên kinh doanh,354.0
59,Kế toán-Kiểm toán,245.0
29,Kỹ thuật,230.0
14,Bán hàng ,224.0
39,Tư vấn,222.0
3,Điện-Điện tử-Điện lạnh,142.0
43,Quản trị kinh doanh,139.0
18,Xây dựng,136.0
0,Cơ khí-Chế tạo,136.0
16,Lao động phổ thông,105.0
48,Marketing-PR,83.0
57,Tài chính-Đầu tư,80.0
55,Nhân sự,74.0
56,Thư ký-Trợ lý,68.0
46,Kiến trúc-TK nội thất,68.0
38,Kho vận-Vật tư,66.0
66,Ngân hàng,66.0
17,Thực phẩm-Đồ uống,57.0
7,Công nghiệp,54.0
58,Ngoại thương-Xuất nhập khẩu,53.0
36,Thiết kế-Mỹ thuật,52.0
61,Y tế-Dược,51.0
2,Dệt may - Da giày,49.0
23,Dịch vụ,46.0
49,Biên-Phiên dịch,44.0
52,IT phần cứng/mạng,42.0
32,Khách sạn-Nhà hàng,42.0
64,IT phần mềm,40.0
5,Hoá học-Sinh học,37.0
22,Vận tải,34.0
41,KD bất động sản,33.0
40,Kỹ thuật ứng dụng,33.0
28,Tiếp thị-Quảng cáo,29.0
42,Spa-Mỹ phẩm-Trang sức,28.0
60,Thiết kế đồ hoạ web,26.0
31,In ấn-Xuất bản,25.0
35,Ô tô - Xe máy,25.0
50,Hoạch định-Dự án,20.0
34,Điện tử viễn thông,19.0
6,Ngành nghề khác,19.0
33,Bảo hiểm,18.0
44,Thương mại điện tử,18.0
21,Nông-Lâm-Ngư nghiệp,16.0
13,An ninh-Bảo vệ,16.0
63,Pháp lý-Luật,14.0
11,Dầu khí-Hóa chất,12.0
20,Sinh viên làm thêm,12.0
8,Hàng hải,10.0
62,Quan hệ đối ngoại,10.0
19,Thời trang,9.0
45,Báo chí-Truyền hình,9.0
4,Làm bán thời gian,9.0
47,Giáo dục-Đào tạo,8.0
51,Du lịch,7.0
53,Công nghệ cao,4.0
1,Hàng không,4.0
12,Chứng khoán- Vàng,4.0
10,Thủ công mỹ nghệ,3.0
9,Tổ chức sự kiện-Quà tặng,3.0
65,Nghệ thuật - Điện ảnh,2.0
67,Thực tập,2.0
15,Game,2.0
24,Người giúp việc,2.0
30,Hàng gia dụng,2.0
26,Bưu chính,1.0
27,NV trông quán Internet,0.0
37,Promotion Girl (PG),0.0
