,Industry,No. of Jobs
14, Bán hàng,5668
19, Tư vấn,3973
8, Dịch vụ khách hàng,2834
18, Tiếp thị,2064
11, Kế toán / Kiểm toán,1781
13, Tài chính / Đầu tư,1717
25, CNTT - Phần mềm,1554
33, Kỹ thuật ứng dụng / Cơ khí,1522
16, Quảng cáo / Khuyến mãi / Đối ngoại,1480
4, Thư ký / Hành chánh,1441
10, Bảo hiểm,1380
32, Điện / Điện tử,1365
6, Bán lẻ / Bán sỉ,1361
52, Mới tốt nghiệp / Thực tập,1254
0, Biên phiên dịch / Thông dịch viên,1134
31, Dược / Sinh học,1079
42, Sản xuất / Vận hành sản xuất,996
21, Vận chuyển / Giao thông / Kho bãi,973
12, Ngân hàng / Chứng khoán,870
49, Nghệ thuật / Thiết kế / Giải trí,808
29, Bảo trì / Sửa chữa,775
47, Xây dựng,769
24, CNTT - Phần cứng / Mạng,728
20, Quản lý chất lượng (QA / QC),689
7, Chăm sóc sức khỏe / Y tế,613
2, Nhân sự,607
39, Hóa chất / Sinh hóa / Thực phẩm,581
51, Lao động phổ thông,557
23, Xuất nhập khẩu / Ngoại thương,452
28, Nhà hàng / Dịch vụ ăn uống,435
48, Báo chí / Biên tập viên / Xuất bản,408
22, Vật tư / Mua hàng,397
1, Biên phiên dịch (tiếng Nhật),393
44, Bất động sản,367
40, Nông nghiệp / Lâm nghiệp,351
46, Nội thất / Ngoại thất,331
30, Điện lạnh / Nhiệt lạnh,322
45, Kiến trúc,303
54, Quản lý điều hành,296
17, Thời trang,278
50, Viễn Thông,267
37, Dệt may / Da giày,227
27, Khách sạn,224
3, Pháp lý / Luật,215
41, Ô tô,188
43, Thuỷ Hải Sản,157
34, Môi trường / Xử lý chất thải,132
5, An Ninh / Bảo Vệ,130
35, An Toàn Lao Động,106
38, Đồ Gỗ,92
55, Khác,84
15, Hàng gia dụng,71
26, Du lịch,64
36, Dầu khí / Khoáng sản,25
53, Người nước ngoài,5
9, Phi chính phủ / Phi lợi nhuận,2
