,Industry,No. of Jobs
14, Bán hàng,4725
19, Tư vấn,3136
8, Dịch vụ khách hàng,2930
11, Kế toán / Kiểm toán,2163
4, Thư ký / Hành chánh,1924
33, Kỹ thuật ứng dụng / Cơ khí,1805
18, Tiếp thị,1793
13, Tài chính / Đầu tư,1523
25, CNTT - Phần mềm,1438
32, Điện / Điện tử,1437
52, Mới tốt nghiệp / Thực tập,1385
16, Quảng cáo / Khuyến mãi / Đối ngoại,1300
6, Bán lẻ / Bán sỉ,1258
42, Sản xuất / Vận hành sản xuất,1206
0, Biên phiên dịch / Thông dịch viên,1129
21, Vận chuyển / Giao thông / Kho bãi,1065
2, Nhân sự,884
47, Xây dựng,817
29, Bảo trì / Sửa chữa,816
10, Bảo hiểm,807
49, Nghệ thuật / Thiết kế / Giải trí,760
20, Quản lý chất lượng (QA / QC),738
51, Lao động phổ thông,722
24, CNTT - Phần cứng / Mạng,666
1, Biên phiên dịch (tiếng Nhật),623
28, Nhà hàng / Dịch vụ ăn uống,593
12, Ngân hàng / Chứng khoán,578
27, Khách sạn,531
39, Hóa chất / Sinh hóa / Thực phẩm,528
23, Xuất nhập khẩu / Ngoại thương,497
22, Vật tư / Mua hàng,467
37, Dệt may / Da giày,426
31, Dược / Sinh học,409
7, Chăm sóc sức khỏe / Y tế,383
44, Bất động sản,341
48, Báo chí / Biên tập viên / Xuất bản,317
45, Kiến trúc,308
30, Điện lạnh / Nhiệt lạnh,297
46, Nội thất / Ngoại thất,290
54, Quản lý điều hành,225
50, Viễn Thông,198
3, Pháp lý / Luật,196
17, Thời trang,186
41, Ô tô,182
34, Môi trường / Xử lý chất thải,134
5, An Ninh / Bảo Vệ,128
35, An Toàn Lao Động,119
26, Du lịch,101
38, Đồ Gỗ,84
40, Nông nghiệp / Lâm nghiệp,76
43, Thuỷ Hải Sản,60
15, Hàng gia dụng,57
55, Khác,52
36, Dầu khí / Khoáng sản,21
9, Phi chính phủ / Phi lợi nhuận,3
53, Người nước ngoài,2
