,Industry,No. of Jobs
14, Bán hàng,6290
19, Tư vấn,4130
8, Dịch vụ khách hàng,2619
18, Tiếp thị,2063
13, Tài chính / Đầu tư,1750
11, Kế toán / Kiểm toán,1633
31, Dược / Sinh học,1583
10, Bảo hiểm,1583
25, CNTT - Phần mềm,1464
33, Kỹ thuật ứng dụng / Cơ khí,1430
6, Bán lẻ / Bán sỉ,1383
32, Điện / Điện tử,1354
16, Quảng cáo / Khuyến mãi / Đối ngoại,1319
52, Mới tốt nghiệp / Thực tập,1288
4, Thư ký / Hành chánh,1223
12, Ngân hàng / Chứng khoán,1058
42, Sản xuất / Vận hành sản xuất,1046
0, Biên phiên dịch / Thông dịch viên,986
21, Vận chuyển / Giao thông / Kho bãi,921
7, Chăm sóc sức khỏe / Y tế,855
47, Xây dựng,773
29, Bảo trì / Sửa chữa,759
24, CNTT - Phần cứng / Mạng,692
49, Nghệ thuật / Thiết kế / Giải trí,690
20, Quản lý chất lượng (QA / QC),649
39, Hóa chất / Sinh hóa / Thực phẩm,580
2, Nhân sự,550
51, Lao động phổ thông,513
23, Xuất nhập khẩu / Ngoại thương,408
48, Báo chí / Biên tập viên / Xuất bản,379
44, Bất động sản,376
22, Vật tư / Mua hàng,367
40, Nông nghiệp / Lâm nghiệp,365
1, Biên phiên dịch (tiếng Nhật),353
54, Quản lý điều hành,339
30, Điện lạnh / Nhiệt lạnh,318
28, Nhà hàng / Dịch vụ ăn uống,317
45, Kiến trúc,315
50, Viễn Thông,307
46, Nội thất / Ngoại thất,295
17, Thời trang,281
37, Dệt may / Da giày,222
3, Pháp lý / Luật,208
43, Thuỷ Hải Sản,161
41, Ô tô,159
34, Môi trường / Xử lý chất thải,156
27, Khách sạn,129
5, An Ninh / Bảo Vệ,122
38, Đồ Gỗ,105
35, An Toàn Lao Động,104
55, Khác,70
15, Hàng gia dụng,69
26, Du lịch,38
36, Dầu khí / Khoáng sản,34
9, Phi chính phủ / Phi lợi nhuận,8
53, Người nước ngoài,3
