,Industry,No. of Jobs
11,Tài chính/Đầu tư,903
22,Điện/Điện tử,692
23,Cơ khí,581
9,Ngân hàng,561
0,Xây dựng,507
10,Kiểm toán,414
7,Internet/Online Media,326
6,Quảng cáo/Khuyến mãi/Đối ngoại,311
2,Bất động sản,287
16,Bán lẻ/Bán sỉ,275
1,Kiến trúc/Thiết kế nội thất,271
44,Vận chuyển/Giao nhận,267
30,Tự động hóa/Ô tô,234
41,Giáo dục/Đào tạo,224
5,Mỹ Thuật/Nghệ Thuật/Thiết Kế,198
43,Tư vấn,193
17,Thực phẩm & Đồ uống,189
13,Bảo hiểm,187
14,Hàng tiêu dùng,183
32,Sản phẩm công nghiệp,176
42,Y tế/Chăm sóc sức khỏe,169
35,Y tế/Chăm sóc sức khỏe,169
24,Hóa học/Hóa sinh,144
3,Viễn Thông,137
33,Công nghệ cao,121
29,Dược Phẩm/Công nghệ sinh học,119
4,Truyền hình/Truyền thông/Báo chí,114
12,Chứng khoán,107
45,Kho vận,106
28,Dệt may/Da giày,106
26,Điện lạnh/Nhiệt lạnh,99
21,Nhà hàng/Khách sạn,87
25,Môi trường/Xử lý chất thải,78
31,Nông nghiệp/Lâm nghiệp,55
18,Thời trang,54
38,Dược sĩ,53
39,Trình dược viên,50
15,Hàng gia dụng,45
20,Hàng không/Du lịch,43
46,Hàng hải,41
27,Dầu khí,34
8,In ấn/ Xuất bản,31
40,Phi chính phủ/Phi lợi nhuận,25
36,Bác sĩ,18
19,Hàng cao cấp,18
37,Y sĩ/Hộ lý,11
34,Địa chất/Khoáng sản,8
