,Industry,No. of Jobs
51,Hành chính-Văn phòng,571.0
38,Nhân viên kinh doanh,497.0
29,Bán hàng ,338.0
32,Tư vấn,335.0
46,Kế toán-Kiểm toán,330.0
42,Kỹ thuật,276.0
43,Quản trị kinh doanh,201.0
11,Xây dựng,191.0
30,Điện-Điện tử-Điện lạnh,175.0
12,Cơ khí-Chế tạo,161.0
1,Lao động phổ thông,128.0
56,Kiến trúc-TK nội thất,109.0
49,Marketing-PR,105.0
52,Nhân sự,104.0
54,Thư ký-Trợ lý,92.0
64,Tài chính-Đầu tư,91.0
40,Kho vận-Vật tư,90.0
60,Ngoại thương-Xuất nhập khẩu,88.0
10,Thiết kế-Mỹ thuật,77.0
57,Y tế-Dược,74.0
47,Ngân hàng,70.0
22,Thực phẩm-Đồ uống,70.0
6,Khách sạn-Nhà hàng,60.0
65,IT phần mềm,60.0
0,Dệt may - Da giày,59.0
28,Dịch vụ,57.0
26,KD bất động sản,55.0
36,Công nghiệp,55.0
44,Biên-Phiên dịch,55.0
53,IT phần cứng/mạng,53.0
55,Thiết kế đồ hoạ web,52.0
37,Hoá học-Sinh học,51.0
15,Tiếp thị-Quảng cáo,49.0
35,Vận tải,45.0
18,Ô tô - Xe máy,45.0
23,In ấn-Xuất bản,40.0
20,Kỹ thuật ứng dụng,38.0
17,Ngành nghề khác,36.0
8,Spa-Mỹ phẩm-Trang sức,30.0
48,Hoạch định-Dự án,26.0
61,Quan hệ đối ngoại,23.0
7,Điện tử viễn thông,23.0
13,Dầu khí-Hóa chất,22.0
62,Pháp lý-Luật,21.0
41,An ninh-Bảo vệ,20.0
4,Nông-Lâm-Ngư nghiệp,19.0
58,Thương mại điện tử,16.0
21,Hàng hải,14.0
19,Thời trang,14.0
45,Báo chí-Truyền hình,13.0
59,Giáo dục-Đào tạo,12.0
50,Du lịch,10.0
24,Bảo hiểm,10.0
27,Sinh viên làm thêm,10.0
63,Công nghệ cao,8.0
14,Làm bán thời gian,8.0
34,Tổ chức sự kiện-Quà tặng,5.0
39,Hàng gia dụng,5.0
16,Thủ công mỹ nghệ,4.0
3,Chứng khoán- Vàng,4.0
66,Nghệ thuật - Điện ảnh,3.0
33,Game,2.0
25,Người giúp việc,2.0
9,Hàng không,2.0
67,Thực tập,2.0
31,Bưu chính,1.0
2,Promotion Girl (PG),1.0
5,NV trông quán Internet,0.0
