,Industry,No. of Jobs
14, Bán hàng,5651
19, Tư vấn,3963
8, Dịch vụ khách hàng,2935
18, Tiếp thị,2085
11, Kế toán / Kiểm toán,1795
13, Tài chính / Đầu tư,1696
33, Kỹ thuật ứng dụng / Cơ khí,1581
25, CNTT - Phần mềm,1544
16, Quảng cáo / Khuyến mãi / Đối ngoại,1481
4, Thư ký / Hành chánh,1479
6, Bán lẻ / Bán sỉ,1361
32, Điện / Điện tử,1352
10, Bảo hiểm,1323
52, Mới tốt nghiệp / Thực tập,1284
0, Biên phiên dịch / Thông dịch viên,1140
21, Vận chuyển / Giao thông / Kho bãi,1018
31, Dược / Sinh học,1018
42, Sản xuất / Vận hành sản xuất,1000
12, Ngân hàng / Chứng khoán,858
49, Nghệ thuật / Thiết kế / Giải trí,811
47, Xây dựng,772
29, Bảo trì / Sửa chữa,749
24, CNTT - Phần cứng / Mạng,727
20, Quản lý chất lượng (QA / QC),666
2, Nhân sự,617
39, Hóa chất / Sinh hóa / Thực phẩm,598
7, Chăm sóc sức khỏe / Y tế,575
51, Lao động phổ thông,526
23, Xuất nhập khẩu / Ngoại thương,480
28, Nhà hàng / Dịch vụ ăn uống,469
1, Biên phiên dịch (tiếng Nhật),423
48, Báo chí / Biên tập viên / Xuất bản,393
22, Vật tư / Mua hàng,388
44, Bất động sản,378
40, Nông nghiệp / Lâm nghiệp,356
46, Nội thất / Ngoại thất,349
45, Kiến trúc,320
54, Quản lý điều hành,318
30, Điện lạnh / Nhiệt lạnh,316
50, Viễn Thông,267
17, Thời trang,267
27, Khách sạn,258
37, Dệt may / Da giày,226
3, Pháp lý / Luật,208
41, Ô tô,171
43, Thuỷ Hải Sản,147
34, Môi trường / Xử lý chất thải,139
5, An Ninh / Bảo Vệ,126
35, An Toàn Lao Động,109
38, Đồ Gỗ,91
55, Khác,87
15, Hàng gia dụng,64
26, Du lịch,61
36, Dầu khí / Khoáng sản,29
9, Phi chính phủ / Phi lợi nhuận,3
53, Người nước ngoài,3
