,Industry,No. of Jobs
65,Hành chính-Văn phòng,306.0
38,Nhân viên kinh doanh,220.0
56,Kế toán-Kiểm toán,197.0
8,Kỹ thuật,184.0
17,Bán hàng ,164.0
22,Tư vấn,145.0
18,Điện-Điện tử-Điện lạnh,111.0
31,Cơ khí-Chế tạo,111.0
32,Xây dựng,106.0
52,Quản trị kinh doanh,101.0
35,Lao động phổ thông,67.0
36,Kho vận-Vật tư,57.0
51,Tài chính-Đầu tư,56.0
12,Thực phẩm-Đồ uống,56.0
48,Nhân sự,55.0
46,Marketing-PR,55.0
57,Y tế-Dược,50.0
66,Ngân hàng,48.0
60,Kiến trúc-TK nội thất,45.0
9,Công nghiệp,45.0
49,Thư ký-Trợ lý,45.0
47,Ngoại thương-Xuất nhập khẩu,43.0
34,Dệt may - Da giày,39.0
3,Thiết kế-Mỹ thuật,37.0
59,IT phần cứng/mạng,35.0
11,Dịch vụ,35.0
61,IT phần mềm,35.0
39,Vận tải,34.0
29,Hoá học-Sinh học,32.0
58,Biên-Phiên dịch,29.0
33,Khách sạn-Nhà hàng,27.0
20,Kỹ thuật ứng dụng,21.0
37,Ô tô - Xe máy,19.0
7,Tiếp thị-Quảng cáo,18.0
15,KD bất động sản,17.0
40,Điện tử viễn thông,16.0
30,Ngành nghề khác,14.0
6,Spa-Mỹ phẩm-Trang sức,14.0
43,Thiết kế đồ hoạ web,14.0
55,Thương mại điện tử,14.0
5,Bảo hiểm,12.0
24,An ninh-Bảo vệ,12.0
54,Hoạch định-Dự án,11.0
62,Pháp lý-Luật,10.0
10,Nông-Lâm-Ngư nghiệp,9.0
53,Quan hệ đối ngoại,8.0
4,In ấn-Xuất bản,8.0
14,Thời trang,7.0
19,Hàng hải,7.0
21,Dầu khí-Hóa chất,6.0
63,Công nghệ cao,6.0
44,Báo chí-Truyền hình,5.0
13,Thủ công mỹ nghệ,3.0
41,Hàng không,3.0
25,Làm bán thời gian,3.0
45,Du lịch,3.0
26,Chứng khoán- Vàng,2.0
1,Người giúp việc,2.0
27,Tổ chức sự kiện-Quà tặng,2.0
50,Giáo dục-Đào tạo,2.0
23,Sinh viên làm thêm,2.0
67,Thực tập,1.0
42,Hàng gia dụng,0.0
28,Promotion Girl (PG),0.0
64,Nghệ thuật - Điện ảnh,0.0
16,Game,0.0
2,NV trông quán Internet,0.0
0,Bưu chính,0.0
