,Industry,No. of Jobs
66,Hành chính-Văn phòng,813.0
23,Bán hàng ,779.0
2,Tư vấn,665.0
51,Kế toán-Kiểm toán,505.0
34,Kỹ thuật,448.0
32,Điện-Điện tử-Điện lạnh,320.0
39,Xây dựng,282.0
21,Cơ khí-Chế tạo,257.0
19,Lao động phổ thông,254.0
49,Marketing-PR,253.0
45,Quản trị kinh doanh,245.0
63,Kiến trúc-TK nội thất,166.0
1,KD bất động sản,149.0
20,Thiết kế-Mỹ thuật,149.0
15,Kho vận-Vật tư,146.0
58,IT phần mềm,143.0
65,Y tế-Dược,131.0
42,Dịch vụ,122.0
56,Ngoại thương-Xuất nhập khẩu,116.0
57,Thư ký-Trợ lý,114.0
30,Thực phẩm-Đồ uống,113.0
60,Nhân sự,112.0
59,IT phần cứng/mạng,111.0
43,Tài chính-Đầu tư,101.0
54,Thiết kế đồ hoạ web,99.0
14,Vận tải,84.0
11,Công nghiệp,83.0
61,Ngân hàng,83.0
4,Tiếp thị-Quảng cáo,80.0
3,Kỹ thuật ứng dụng,78.0
33,Hoá học-Sinh học,76.0
13,Điện tử viễn thông,67.0
7,Khách sạn-Nhà hàng,66.0
35,Nhân viên kinh doanh,66.0
36,Dệt may - Da giày,66.0
62,Giáo dục-Đào tạo,64.0
12,Ngành nghề khác,59.0
9,Spa-Mỹ phẩm-Trang sức,57.0
28,In ấn-Xuất bản,57.0
38,Nông-Lâm-Ngư nghiệp,56.0
55,Thương mại điện tử,56.0
25,Ô tô - Xe máy,54.0
52,Biên-Phiên dịch,53.0
29,Làm bán thời gian,39.0
16,Thời trang,37.0
37,Bảo hiểm,35.0
48,Pháp lý-Luật,33.0
0,An ninh-Bảo vệ,33.0
46,Hoạch định-Dự án,31.0
24,Sinh viên làm thêm,30.0
53,Báo chí-Truyền hình,30.0
6,Dầu khí-Hóa chất,23.0
27,Hàng hải,20.0
17,Chứng khoán- Vàng,16.0
47,Công nghệ cao,16.0
50,Quan hệ đối ngoại,15.0
44,Du lịch,14.0
10,Hàng gia dụng,11.0
64,Nghệ thuật - Điện ảnh,11.0
31,Tổ chức sự kiện-Quà tặng,10.0
8,Thủ công mỹ nghệ,9.0
5,Bưu chính,9.0
67,Thực tập,9.0
40,Người giúp việc,6.0
22,Game,6.0
41,Promotion Girl (PG),5.0
26,Hàng không,3.0
18,NV trông quán Internet,1.0
