,Industry,No. of Jobs
14,Nhân viên kinh doanh,334.0
66,Hành chính-Văn phòng,287.0
29,Bán hàng ,238.0
40,Tư vấn,232.0
38,Kỹ thuật,177.0
48,Kế toán-Kiểm toán,143.0
37,Xây dựng,124.0
41,Điện-Điện tử-Điện lạnh,117.0
59,Quản trị kinh doanh,106.0
20,Cơ khí-Chế tạo,90.0
9,Thực phẩm-Đồ uống,81.0
27,Lao động phổ thông,81.0
43,Marketing-PR,68.0
47,Kiến trúc-TK nội thất,66.0
10,Dịch vụ,60.0
45,Tài chính-Đầu tư,57.0
7,KD bất động sản,55.0
28,Kho vận-Vật tư,52.0
2,Tiếp thị-Quảng cáo,50.0
32,Thiết kế-Mỹ thuật,47.0
62,Nhân sự,45.0
65,Y tế-Dược,45.0
50,Ngoại thương-Xuất nhập khẩu,45.0
63,Thư ký-Trợ lý,39.0
16,Khách sạn-Nhà hàng,39.0
26,Kỹ thuật ứng dụng,36.0
23,Hoá học-Sinh học,35.0
56,Ngân hàng,33.0
44,Thiết kế đồ hoạ web,32.0
8,Vận tải,31.0
64,IT phần cứng/mạng,30.0
57,IT phần mềm,30.0
34,Công nghiệp,29.0
25,Spa-Mỹ phẩm-Trang sức,29.0
4,Làm bán thời gian,27.0
1,Dệt may - Da giày,26.0
36,In ấn-Xuất bản,20.0
52,Biên-Phiên dịch,20.0
30,Ô tô - Xe máy,19.0
17,Sinh viên làm thêm,19.0
21,Ngành nghề khác,19.0
46,Giáo dục-Đào tạo,18.0
31,Nông-Lâm-Ngư nghiệp,18.0
55,Báo chí-Truyền hình,18.0
19,Thời trang,15.0
49,Pháp lý-Luật,14.0
33,Điện tử viễn thông,14.0
61,Thương mại điện tử,14.0
53,Hoạch định-Dự án,11.0
11,Bảo hiểm,10.0
42,An ninh-Bảo vệ,8.0
24,Chứng khoán- Vàng,8.0
13,Dầu khí-Hóa chất,7.0
51,Quan hệ đối ngoại,7.0
60,Du lịch,7.0
12,Hàng hải,6.0
54,Nghệ thuật - Điện ảnh,5.0
39,Tổ chức sự kiện-Quà tặng,5.0
35,Bưu chính,5.0
0,Người giúp việc,4.0
58,Công nghệ cao,4.0
18,Promotion Girl (PG),3.0
3,Hàng gia dụng,3.0
15,Game,2.0
22,Thủ công mỹ nghệ,1.0
67,Thực tập,1.0
6,NV trông quán Internet,0.0
5,Hàng không,0.0
