,Industry,No. of Jobs
61,Hành chính-Văn phòng,840.0
24,Bán hàng ,804.0
25,Tư vấn,679.0
43,Kế toán-Kiểm toán,525.0
30,Kỹ thuật,468.0
1,Điện-Điện tử-Điện lạnh,326.0
12,Xây dựng,305.0
44,Marketing-PR,272.0
41,Lao động phổ thông,266.0
42,Cơ khí-Chế tạo,256.0
51,Quản trị kinh doanh,251.0
49,Kiến trúc-TK nội thất,174.0
10,KD bất động sản,158.0
21,Kho vận-Vật tư,153.0
9,Thiết kế-Mỹ thuật,148.0
63,IT phần mềm,146.0
66,Y tế-Dược,145.0
34,Dịch vụ,128.0
65,Ngoại thương-Xuất nhập khẩu,126.0
32,Thực phẩm-Đồ uống,124.0
46,Thư ký-Trợ lý,122.0
62,IT phần cứng/mạng,115.0
47,Tài chính-Đầu tư,113.0
56,Nhân sự,108.0
59,Thiết kế đồ hoạ web,101.0
22,Nhân viên kinh doanh,89.0
26,Tiếp thị-Quảng cáo,87.0
11,Công nghiệp,86.0
6,Vận tải,84.0
57,Ngân hàng,83.0
16,Hoá học-Sinh học,81.0
2,Kỹ thuật ứng dụng,79.0
50,Giáo dục-Đào tạo,69.0
33,Khách sạn-Nhà hàng,68.0
3,Dệt may - Da giày,67.0
0,Điện tử viễn thông,61.0
23,Ngành nghề khác,61.0
35,Nông-Lâm-Ngư nghiệp,59.0
53,Thương mại điện tử,59.0
64,Biên-Phiên dịch,58.0
40,Spa-Mỹ phẩm-Trang sức,58.0
20,In ấn-Xuất bản,57.0
36,Ô tô - Xe máy,52.0
14,Làm bán thời gian,43.0
17,Bảo hiểm,39.0
19,An ninh-Bảo vệ,37.0
4,Thời trang,36.0
52,Pháp lý-Luật,31.0
60,Hoạch định-Dự án,30.0
58,Báo chí-Truyền hình,28.0
5,Sinh viên làm thêm,28.0
13,Dầu khí-Hóa chất,23.0
29,Hàng hải,21.0
8,Chứng khoán- Vàng,18.0
55,Công nghệ cao,16.0
48,Du lịch,15.0
54,Quan hệ đối ngoại,15.0
39,Bưu chính,12.0
15,Hàng gia dụng,10.0
28,Tổ chức sự kiện-Quà tặng,10.0
45,Nghệ thuật - Điện ảnh,10.0
38,Người giúp việc,10.0
37,Thủ công mỹ nghệ,9.0
67,Thực tập,9.0
31,Game,6.0
7,Promotion Girl (PG),6.0
18,Hàng không,3.0
27,NV trông quán Internet,1.0
