,Industry,No. of Jobs
11,Tài chính/Đầu tư,906
22,Điện/Điện tử,670
23,Cơ khí,589
9,Ngân hàng,558
0,Xây dựng,512
10,Kiểm toán,438
44,Vận chuyển/Giao nhận,317
6,Quảng cáo/Khuyến mãi/Đối ngoại,287
7,Internet/Online Media,280
1,Kiến trúc/Thiết kế nội thất,279
30,Tự động hóa/Ô tô,245
2,Bất động sản,242
16,Bán lẻ/Bán sỉ,221
14,Hàng tiêu dùng,214
5,Mỹ Thuật/Nghệ Thuật/Thiết Kế,205
43,Tư vấn,196
17,Thực phẩm & Đồ uống,184
13,Bảo hiểm,181
41,Giáo dục/Đào tạo,172
32,Sản phẩm công nghiệp,168
42,Y tế/Chăm sóc sức khỏe,165
35,Y tế/Chăm sóc sức khỏe,165
28,Dệt may/Da giày,146
29,Dược Phẩm/Công nghệ sinh học,140
24,Hóa học/Hóa sinh,136
45,Kho vận,134
3,Viễn Thông,130
33,Công nghệ cao,104
26,Điện lạnh/Nhiệt lạnh,103
12,Chứng khoán,102
4,Truyền hình/Truyền thông/Báo chí,88
21,Nhà hàng/Khách sạn,85
25,Môi trường/Xử lý chất thải,83
31,Nông nghiệp/Lâm nghiệp,71
39,Trình dược viên,57
38,Dược sĩ,53
20,Hàng không/Du lịch,48
18,Thời trang,42
27,Dầu khí,40
15,Hàng gia dụng,38
46,Hàng hải,37
8,In ấn/ Xuất bản,28
40,Phi chính phủ/Phi lợi nhuận,26
37,Y sĩ/Hộ lý,15
36,Bác sĩ,15
34,Địa chất/Khoáng sản,15
19,Hàng cao cấp,10
