,Industry,No. of Jobs
14, Bán hàng,3722
19, Tư vấn,2719
8, Dịch vụ khách hàng,2026
11, Kế toán / Kiểm toán,1791
18, Tiếp thị,1505
33, Kỹ thuật ứng dụng / Cơ khí,1471
25, CNTT - Phần mềm,1432
13, Tài chính / Đầu tư,1375
4, Thư ký / Hành chánh,1322
32, Điện / Điện tử,1209
52, Mới tốt nghiệp / Thực tập,1111
16, Quảng cáo / Khuyến mãi / Đối ngoại,1079
42, Sản xuất / Vận hành sản xuất,1029
6, Bán lẻ / Bán sỉ,960
0, Biên phiên dịch / Thông dịch viên,942
10, Bảo hiểm,873
21, Vận chuyển / Giao thông / Kho bãi,835
47, Xây dựng,688
20, Quản lý chất lượng (QA / QC),638
49, Nghệ thuật / Thiết kế / Giải trí,631
29, Bảo trì / Sửa chữa,631
24, CNTT - Phần cứng / Mạng,615
2, Nhân sự,577
1, Biên phiên dịch (tiếng Nhật),544
12, Ngân hàng / Chứng khoán,520
51, Lao động phổ thông,449
23, Xuất nhập khẩu / Ngoại thương,415
31, Dược / Sinh học,396
39, Hóa chất / Sinh hóa / Thực phẩm,365
22, Vật tư / Mua hàng,358
37, Dệt may / Da giày,342
7, Chăm sóc sức khỏe / Y tế,293
28, Nhà hàng / Dịch vụ ăn uống,287
44, Bất động sản,286
48, Báo chí / Biên tập viên / Xuất bản,254
45, Kiến trúc,239
30, Điện lạnh / Nhiệt lạnh,232
46, Nội thất / Ngoại thất,217
54, Quản lý điều hành,193
27, Khách sạn,184
3, Pháp lý / Luật,179
50, Viễn Thông,169
34, Môi trường / Xử lý chất thải,121
41, Ô tô,114
17, Thời trang,107
35, An Toàn Lao Động,99
5, An Ninh / Bảo Vệ,96
38, Đồ Gỗ,82
40, Nông nghiệp / Lâm nghiệp,81
15, Hàng gia dụng,55
43, Thuỷ Hải Sản,49
55, Khác,47
26, Du lịch,43
36, Dầu khí / Khoáng sản,22
9, Phi chính phủ / Phi lợi nhuận,1
53, Người nước ngoài,1
